ga_label,ga_weeks,measure,sex,centile,value,ga_weeks_days
24,24,hc,male,3,19.41,24+0
24,24,hc,male,5,19.78,24+0
24,24,hc,male,10,20.34,24+0
24,24,hc,male,50,22.34,24+0
24,24,hc,male,90,24.34,24+0
24,24,hc,male,95,24.91,24+0
24,24,hc,male,97,25.28,24+0
24,24,hc,male,3,19.66,24+2
24,24,hc,male,5,20.03,24+2
24,24,hc,male,10,20.6,24+2
24,24,hc,male,50,22.59,24+2
24,24,hc,male,90,24.59,24+2
24,24,hc,male,95,25.16,24+2
24,24,hc,male,97,25.53,24+2
24,24,hc,male,3,19.91,24+4
24,24,hc,male,5,20.28,24+4
24,24,hc,male,10,20.85,24+4
24,24,hc,male,50,22.85,24+4
24,24,hc,male,90,24.85,24+4
24,24,hc,male,95,25.41,24+4
24,24,hc,male,97,25.78,24+4
24,24,hc,male,3,20.17,24+6
24,24,hc,male,5,20.54,24+6
24,24,hc,male,10,21.1,24+6
24,24,hc,male,50,23.1,24+6
24,24,hc,male,90,25.1,24+6
24,24,hc,male,95,25.67,24+6
24,24,hc,male,97,26.04,24+6
25,25,hc,male,3,20.42,25+1
25,25,hc,male,5,20.79,25+1
25,25,hc,male,10,21.36,25+1
25,25,hc,male,50,23.36,25+1
25,25,hc,male,90,25.35,25+1
25,25,hc,male,95,25.92,25+1
25,25,hc,male,97,26.29,25+1
25,25,hc,male,3,20.68,25+3
25,25,hc,male,5,21.04,25+3
25,25,hc,male,10,21.61,25+3
25,25,hc,male,50,23.61,25+3
25,25,hc,male,90,25.61,25+3
25,25,hc,male,95,26.18,25+3
25,25,hc,male,97,26.54,25+3
25,25,hc,male,3,20.93,25+5
25,25,hc,male,5,21.3,25+5
25,25,hc,male,10,21.86,25+5
25,25,hc,male,50,23.86,25+5
25,25,hc,male,90,25.86,25+5
25,25,hc,male,95,26.43,25+5
25,25,hc,male,97,26.8,25+5
26,26,hc,male,3,21.18,26+0
26,26,hc,male,5,21.55,26+0
26,26,hc,male,10,22.12,26+0
26,26,hc,male,50,24.12,26+0
26,26,hc,male,90,26.12,26+0
26,26,hc,male,95,26.68,26+0
26,26,hc,male,97,27.05,26+0
26,26,hc,male,3,21.44,26+2
26,26,hc,male,5,21.8,26+2
26,26,hc,male,10,22.37,26+2
26,26,hc,male,50,24.37,26+2
26,26,hc,male,90,26.37,26+2
26,26,hc,male,95,26.94,26+2
26,26,hc,male,97,27.3,26+2
26,26,hc,male,3,21.69,26+4
26,26,hc,male,5,22.06,26+4
26,26,hc,male,10,22.62,26+4
26,26,hc,male,50,24.62,26+4
26,26,hc,male,90,26.62,26+4
26,26,hc,male,95,27.19,26+4
26,26,hc,male,97,27.56,26+4
26,26,hc,male,3,21.94,26+6
26,26,hc,male,5,22.31,26+6
26,26,hc,male,10,22.88,26+6
26,26,hc,male,50,24.88,26+6
26,26,hc,male,90,26.88,26+6
26,26,hc,male,95,27.44,26+6
26,26,hc,male,97,27.81,26+6
27,27,hc,male,3,22.2,27+1
27,27,hc,male,5,22.57,27+1
27,27,hc,male,10,23.13,27+1
27,27,hc,male,50,25.13,27+1
27,27,hc,male,90,27.13,27+1
27,27,hc,male,95,27.7,27+1
27,27,hc,male,97,28.06,27+1
27,27,hc,male,3,22.45,27+3
27,27,hc,male,5,22.82,27+3
27,27,hc,male,10,23.39,27+3
27,27,hc,male,50,25.38,27+3
27,27,hc,male,90,27.38,27+3
27,27,hc,male,95,27.95,27+3
27,27,hc,male,97,28.32,27+3
27,27,hc,male,3,22.7,27+5
27,27,hc,male,5,23.07,27+5
27,27,hc,male,10,23.64,27+5
