ga_label,ga_weeks,measure,sex,centile,value,ga_weeks_days
24,24,hc,female,3,19.16,24+0
24,24,hc,female,5,19.52,24+0
24,24,hc,female,10,20.09,24+0
24,24,hc,female,50,22.09,24+0
24,24,hc,female,90,24.09,24+0
24,24,hc,female,95,24.66,24+0
24,24,hc,female,97,25.02,24+0
24,24,hc,female,3,19.41,24+2
24,24,hc,female,5,19.78,24+2
24,24,hc,female,10,20.34,24+2
24,24,hc,female,50,22.34,24+2
24,24,hc,female,90,24.34,24+2
24,24,hc,female,95,24.91,24+2
24,24,hc,female,97,25.28,24+2
24,24,hc,female,3,19.66,24+4
24,24,hc,female,5,20.03,24+4
24,24,hc,female,10,20.6,24+4
24,24,hc,female,50,22.6,24+4
24,24,hc,female,90,24.6,24+4
24,24,hc,female,95,25.16,24+4
24,24,hc,female,97,25.53,24+4
24,24,hc,female,3,19.92,24+6
24,24,hc,female,5,20.28,24+6
24,24,hc,female,10,20.85,24+6
24,24,hc,female,50,22.85,24+6
24,24,hc,female,90,24.85,24+6
24,24,hc,female,95,25.42,24+6
24,24,hc,female,97,25.78,24+6
25,25,hc,female,3,20.17,25+1
25,25,hc,female,5,20.54,25+1
25,25,hc,female,10,21.11,25+1
25,25,hc,female,50,23.1,25+1
25,25,hc,female,90,25.1,25+1
25,25,hc,female,95,25.67,25+1
25,25,hc,female,97,26.04,25+1
25,25,hc,female,3,20.42,25+3
25,25,hc,female,5,20.79,25+3
25,25,hc,female,10,21.36,25+3
25,25,hc,female,50,23.36,25+3
25,25,hc,female,90,25.36,25+3
25,25,hc,female,95,25.92,25+3
25,25,hc,female,97,26.29,25+3
25,25,hc,female,3,20.68,25+5
25,25,hc,female,5,21.05,25+5
25,25,hc,female,10,21.61,25+5
25,25,hc,female,50,23.61,25+5
25,25,hc,female,90,25.61,25+5
25,25,hc,female,95,26.18,25+5
25,25,hc,female,97,26.55,25+5
26,26,hc,female,3,20.93,26+0
26,26,hc,female,5,21.3,26+0
26,26,hc,female,10,21.87,26+0
26,26,hc,female,50,23.87,26+0
26,26,hc,female,90,25.86,26+0
26,26,hc,female,95,26.43,26+0
26,26,hc,female,97,26.8,26+0
26,26,hc,female,3,21.18,26+2
26,26,hc,female,5,21.55,26+2
26,26,hc,female,10,22.12,26+2
26,26,hc,female,50,24.12,26+2
26,26,hc,female,90,26.12,26+2
26,26,hc,female,95,26.68,26+2
26,26,hc,female,97,27.05,26+2
26,26,hc,female,3,21.44,26+4
26,26,hc,female,5,21.81,26+4
26,26,hc,female,10,22.37,26+4
26,26,hc,female,50,24.37,26+4
26,26,hc,female,90,26.37,26+4
26,26,hc,female,95,26.94,26+4
26,26,hc,female,97,27.31,26+4
26,26,hc,female,3,21.69,26+6
26,26,hc,female,5,22.06,26+6
26,26,hc,female,10,22.63,26+6
26,26,hc,female,50,24.63,26+6
