ga_label,ga_weeks,measure,sex,centile,value,ga_weeks_days
24,24,length,male,3,27.33,24+0
24,24,length,male,5,27.94,24+0
24,24,length,male,10,28.88,24+0
24,24,length,male,50,32.21,24+0
24,24,length,male,90,35.55,24+0
24,24,length,male,95,36.49,24+0
24,24,length,male,97,37.1,24+0
24,24,length,male,3,27.69,24+2
24,24,length,male,5,28.3,24+2
24,24,length,male,10,29.25,24+2
24,24,length,male,50,32.58,24+2
24,24,length,male,90,35.91,24+2
24,24,length,male,95,36.85,24+2
24,24,length,male,97,37.47,24+2
24,24,length,male,3,28.05,24+4
24,24,length,male,5,28.66,24+4
24,24,length,male,10,29.61,24+4
24,24,length,male,50,32.94,24+4
24,24,length,male,90,36.27,24+4
24,24,length,male,95,37.22,24+4
24,24,length,male,97,37.83,24+4
24,24,length,male,3,28.41,24+6
24,24,length,male,5,29.03,24+6
24,24,length,male,10,29.97,24+6
24,24,length,male,50,33.3,24+6
24,24,length,male,90,36.63,24+6
24,24,length,male,95,37.58,24+6
24,24,length,male,97,38.19,24+6
25,25,length,male,3,28.78,25+1
25,25,length,male,5,29.39,25+1
25,25,length,male,10,30.33,25+1
25,25,length,male,50,33.67,25+1
25,25,length,male,90,37.0,25+1
25,25,length,male,95,37.94,25+1
25,25,length,male,97,38.56,25+1
25,25,length,male,3,29.14,25+3
25,25,length,male,5,29.75,25+3
25,25,length,male,10,30.7,25+3
25,25,length,male,50,34.03,25+3
25,25,length,male,90,37.36,25+3
25,25,length,male,95,38.3,25+3
25,25,length,male,97,38.92,25+3
25,25,length,male,3,29.5,25+5
25,25,length,male,5,30.12,25+5
25,25,length,male,10,31.06,25+5
25,25,length,male,50,34.39,25+5
25,25,length,male,90,37.72,25+5
25,25,length,male,95,38.67,25+5
25,25,length,male,97,39.28,25+5
26,26,length,male,3,29.87,26+0
26,26,length,male,5,30.48,26+0
26,26,length,male,10,31.42,26+0
26,26,length,male,50,34.75,26+0
26,26,length,male,90,38.09,26+0
26,26,length,male,95,39.03,26+0
26,26,length,male,97,39.64,26+0
26,26,length,male,3,30.23,26+2
26,26,length,male,5,30.84,26+2
26,26,length,male,10,31.79,26+2
26,26,length,male,50,35.12,26+2
26,26,length,male,90,38.45,26+2
26,26,length,male,95,39.39,26+2
26,26,length,male,97,40.01,26+2
26,26,length,male,3,30.59,26+4
26,26,length,male,5,31.2,26+4
26,26,length,male,10,32.15,26+4
26,26,length,male,50,35.48,26+4
26,26,length,male,90,38.81,26+4
26,26,length,male,95,39.76,26+4
26,26,length,male,97,40.37,26+4
26,26,length,male,3,30.95,26+6
26,26,length,male,5,31.57,26+6
26,26,length,male,10,32.51,26+6
26,26,length,male,50,35.84,26+6
26,26,length,male,90,39.17,26+6
26,26,length,male,95,40.12,26+6
26,26,length,male,97,40.73,26+6
27,27,length,male,3,31.32,27+1
27,27,length,male,5,31.93,27+1
27,27,length,male,10,32.87,27+1
27,27,length,male,50,36.21,27+1
27,27,length,male,90,39.54,27+1
27,27,length,male,95,40.48,27+1
27,27,length,male,97,41.1,27+1
27,27,length,male,3,31.68,27+3
27,27,length,male,5,32.29,27+3
27,27,length,male,10,33.24,27+3
27,27,length,male,50,36.57,27+3
27,27,length,male,90,39.9,27+3
27,27,length,male,95,40.84,27+3
27,27,length,male,97,41.46,27+3
27,27,length,male,3,32.04,27+5
27,27,length,male,5,32.66,27+5
27,27,length,male,10,33.6,27+5
27,27,length,male,50,36.93,27+5
27,27,length,male,90,40.26,27+5
27,27,length,male,95,41.21,27+5
27,27,length,male,97,41.82,27+5
28,28,length,male,3,32.41,28+0
28,28,length,male,5,33.02,28+0
28,28,length,male,10,33.96,28+0
28,28,length,male,50,37.29,28+0
28,28,length,male,90,40.63,28+0
28,28,length,male,95,41.57,28+0
28,28,length,male,97,42.18,28+0
28,28,length,male,3,32.77,28+2
28,28,length,male,5,33.38,28+2
28,28,length,male,10,34.33,28+2
28,28,length,male,50,37.66,28+2
28,28,length,male,90,40.99,28+2
28,28,length,male,95,41.93,28+2
28,28,length,male,97,42.55,28+2
28,28,length,male,3,33.13,28+4
28,28,length,male,5,33.74,28+4
28,28,length,male,10,34.69,28+4
28,28,length,male,50,38.02,28+4
28,28,length,male,90,41.35,28+4
28,28,length,male,95,42.3,28+4
28,28,length,male,97,42.91,28+4
28,28,length,male,3,33.49,28+6
28,28,length,male,5,34.11,28+6
28,28,length,male,10,35.05,28+6
28,28,length,male,50,38.38,28+6
28,28,length,male,90,41.71,28+6
28,28,length,male,95,42.66,28+6
28,28,length,male,97,43.27,28+6
29,29,length,male,3,33.86,29+1
29,29,length,male,5,34.47,29+1
29,29,length,male,10,35.41,29+1
29,29,length,male,50,38.75,29+1
29,29,length,male,90,42.08,29+1
29,29,length,male,95,43.02,29+1
29,29,length,male,97,43.64,29+1
29,29,length,male,3,34.22,29+3
29,29,length,male,5,34.83,29+3
29,29,length,male,10,35.78,29+3
29,29,length,male,50,39.11,29+3
29,29,length,male,90,42.44,29+3
29,29,length,male,95,43.38,29+3
29,29,length,male,97,44.0,29+3
29,29,length,male,3,34.58,29+5
29,29,length,male,5,35.2,29+5
29,29,length,male,10,36.14,29+5
29,29,length,male,50,39.47,29+5
29,29,length,male,90,42.8,29+5
29,29,length,male,95,43.75,29+5
29,29,length,male,97,44.36,29+5
30,30,length,male,3,34.95,30+0
30,30,length,male,5,35.56,30+0
30,30,length,male,10,36.5,30+0
30,30,length,male,50,39.83,30+0
30,30,length,male,90,43.17,30+0
30,30,length,male,95,44.11,30+0
30,30,length,male,97,44.72,30+0
30,30,length,male,3,35.31,30+2
30,30,length,male,5,35.92,30+2
30,30,length,male,10,36.87,30+2
30,30,length,male,50,40.2,30+2
30,30,length,male,90,43.53,30+2
30,30,length,male,95,44.47,30+2
30,30,length,male,97,45.09,30+2
30,30,length,male,3,35.67,30+4
30,30,length,male,5,36.28,30+4
30,30,length,male,10,37.23,30+4
30,30,length,male,50,40.56,30+4
30,30,length,male,90,43.89,30+4
30,30,length,male,95,44.84,30+4
30,30,length,male,97,45.45,30+4
30,30,length,male,3,36.03,30+6
30,30,length,male,5,36.65,30+6
30,30,length,male,10,37.59,30+6
30,30,length,male,50,40.92,30+6
30,30,length,male,90,44.25,30+6
30,30,length,male,95,45.2,30+6
30,30,length,male,97,45.81,30+6
31,31,length,male,3,36.4,31+1
31,31,length,male,5,37.01,31+1
31,31,length,male,10,37.95,31+1
31,31,length,male,50,41.29,31+1
31,31,length,male,90,44.62,31+1
31,31,length,male,95,45.56,31+1
31,31,length,male,97,46.18,31+1
31,31,length,male,3,36.76,31+3
31,31,length,male,5,37.37,31+3
31,31,length,male,10,38.32,31+3
31,31,length,male,50,41.65,31+3
31,31,length,male,90,44.98,31+3
31,31,length,male,95,45.92,31+3
31,31,length,male,97,46.54,31+3
31,31,length,male,3,37.12,31+5
31,31,length,male,5,37.74,31+5
31,31,length,male,10,38.68,31+5
31,31,length,male,50,42.01,31+5
31,31,length,male,90,45.34,31+5
31,31,length,male,95,46.29,31+5
31,31,length,male,97,46.9,31+5
32,32,length,male,3,37.49,32+0
32,32,length,male,5,38.1,32+0
32,32,length,male,10,39.04,32+0
32,32,length,male,50,42.37,32+0
32,32,length,male,90,45.71,32+0
32,32,length,male,95,46.65,32+0
32,32,length,male,97,47.26,32+0
32,32,length,male,3,37.85,32+2
32,32,length,male,5,38.46,32+2
32,32,length,male,10,39.41,32+2
32,32,length,male,50,42.74,32+2
32,32,length,male,90,46.07,32+2
32,32,length,male,95,47.01,32+2
32,32,length,male,97,47.63,32+2
32,32,length,male,3,38.21,32+4
32,32,length,male,5,38.82,32+4
32,32,length,male,10,39.77,32+4
32,32,length,male,50,43.1,32+4
32,32,length,male,90,46.43,32+4
32,32,length,male,95,47.38,32+4
32,32,length,male,97,47.99,32+4
32,32,length,male,3,38.57,32+6
32,32,length,male,5,39.19,32+6
32,32,length,male,10,40.13,32+6
32,32,length,male,50,43.46,32+6
32,32,length,male,90,46.79,32+6
32,32,length,male,95,47.74,32+6
32,32,length,male,97,48.35,32+6
