ga_label,ga_weeks,measure,sex,centile,value,ga_weeks_days
24,24,length,female,3,26.9,24+0
24,24,length,female,5,27.51,24+0
24,24,length,female,10,28.46,24+0
24,24,length,female,50,31.79,24+0
24,24,length,female,90,35.12,24+0
24,24,length,female,95,36.06,24+0
24,24,length,female,97,36.68,24+0
24,24,length,female,3,27.26,24+2
24,24,length,female,5,27.88,24+2
24,24,length,female,10,28.82,24+2
24,24,length,female,50,32.15,24+2
24,24,length,female,90,35.48,24+2
24,24,length,female,95,36.43,24+2
24,24,length,female,97,37.04,24+2
24,24,length,female,3,27.62,24+4
24,24,length,female,5,28.24,24+4
24,24,length,female,10,29.18,24+4
24,24,length,female,50,32.51,24+4
24,24,length,female,90,35.85,24+4
24,24,length,female,95,36.79,24+4
24,24,length,female,97,37.4,24+4
24,24,length,female,3,27.99,24+6
24,24,length,female,5,28.6,24+6
24,24,length,female,10,29.55,24+6
24,24,length,female,50,32.88,24+6
24,24,length,female,90,36.21,24+6
24,24,length,female,95,37.15,24+6
24,24,length,female,97,37.77,24+6
25,25,length,female,3,28.35,25+1
25,25,length,female,5,28.96,25+1
25,25,length,female,10,29.91,25+1
25,25,length,female,50,33.24,25+1
25,25,length,female,90,36.57,25+1
25,25,length,female,95,37.52,25+1
25,25,length,female,97,38.13,25+1
25,25,length,female,3,28.71,25+3
25,25,length,female,5,29.33,25+3
25,25,length,female,10,30.27,25+3
25,25,length,female,50,33.6,25+3
25,25,length,female,90,36.93,25+3
25,25,length,female,95,37.88,25+3
25,25,length,female,97,38.49,25+3
25,25,length,female,3,29.08,25+5
25,25,length,female,5,29.69,25+5
25,25,length,female,10,30.63,25+5
25,25,length,female,50,33.97,25+5
25,25,length,female,90,37.3,25+5
25,25,length,female,95,38.24,25+5
25,25,length,female,97,38.85,25+5
26,26,length,female,3,29.44,26+0
26,26,length,female,5,30.05,26+0
26,26,length,female,10,31.0,26+0
26,26,length,female,50,34.33,26+0
26,26,length,female,90,37.66,26+0
26,26,length,female,95,38.6,26+0
26,26,length,female,97,39.22,26+0
26,26,length,female,3,29.8,26+2
26,26,length,female,5,30.42,26+2
26,26,length,female,10,31.36,26+2
26,26,length,female,50,34.69,26+2
26,26,length,female,90,38.02,26+2
26,26,length,female,95,38.97,26+2
26,26,length,female,97,39.58,26+2
26,26,length,female,3,30.16,26+4
26,26,length,female,5,30.78,26+4
26,26,length,female,10,31.72,26+4
26,26,length,female,50,35.05,26+4
26,26,length,female,90,38.39,26+4
26,26,length,female,95,39.33,26+4
26,26,length,female,97,39.94,26+4
26,26,length,female,3,30.53,26+6
26,26,length,female,5,31.14,26+6
26,26,length,female,10,32.09,26+6
26,26,length,female,50,35.42,26+6
26,26,length,female,90,38.75,26+6
26,26,length,female,95,39.69,26+6
26,26,length,female,97,40.31,26+6
27,27,length,female,3,30.89,27+1
27,27,length,female,5,31.5,27+1
27,27,length,female,10,32.45,27+1
27,27,length,female,50,35.78,27+1
27,27,length,female,90,39.11,27+1
27,27,length,female,95,40.06,27+1
27,27,length,female,97,40.67,27+1
27,27,length,female,3,31.25,27+3
27,27,length,female,5,31.87,27+3
27,27,length,female,10,32.81,27+3
27,27,length,female,50,36.14,27+3
27,27,length,female,90,39.47,27+3
27,27,length,female,95,40.42,27+3
27,27,length,female,97,41.03,27+3
27,27,length,female,3,31.62,27+5
27,27,length,female,5,32.23,27+5
27,27,length,female,10,33.17,27+5
27,27,length,female,50,36.51,27+5
27,27,length,female,90,39.84,27+5
27,27,length,female,95,40.78,27+5
27,27,length,female,97,41.39,27+5
28,28,length,female,3,31.98,28+0
28,28,length,female,5,32.59,28+0
28,28,length,female,10,33.54,28+0
28,28,length,female,50,36.87,28+0
28,28,length,female,90,40.2,28+0
28,28,length,female,95,41.14,28+0
28,28,length,female,97,41.76,28+0
28,28,length,female,3,32.34,28+2
28,28,length,female,5,32.96,28+2
28,28,length,female,10,33.9,28+2
28,28,length,female,50,37.23,28+2
28,28,length,female,90,40.56,28+2
28,28,length,female,95,41.51,28+2
28,28,length,female,97,42.12,28+2
28,28,length,female,3,32.7,28+4
28,28,length,female,5,33.32,28+4
28,28,length,female,10,34.26,28+4
28,28,length,female,50,37.59,28+4
28,28,length,female,90,40.93,28+4
28,28,length,female,95,41.87,28+4
28,28,length,female,97,42.48,28+4
28,28,length,female,3,33.07,28+6
28,28,length,female,5,33.68,28+6
28,28,length,female,10,34.63,28+6
28,28,length,female,50,37.96,28+6
28,28,length,female,90,41.29,28+6
28,28,length,female,95,42.23,28+6
28,28,length,female,97,42.85,28+6
29,29,length,female,3,33.43,29+1
29,29,length,female,5,34.04,29+1
29,29,length,female,10,34.99,29+1
29,29,length,female,50,38.32,29+1
29,29,length,female,90,41.65,29+1
29,29,length,female,95,42.6,29+1
29,29,length,female,97,43.21,29+1
29,29,length,female,3,33.79,29+3
29,29,length,female,5,34.41,29+3
29,29,length,female,10,35.35,29+3
29,29,length,female,50,38.68,29+3
29,29,length,female,90,42.01,29+3
29,29,length,female,95,42.96,29+3
29,29,length,female,97,43.57,29+3
29,29,length,female,3,34.16,29+5
29,29,length,female,5,34.77,29+5
29,29,length,female,10,35.71,29+5
29,29,length,female,50,39.05,29+5
29,29,length,female,90,42.38,29+5
29,29,length,female,95,43.32,29+5
29,29,length,female,97,43.93,29+5
30,30,length,female,3,34.52,30+0
30,30,length,female,5,35.13,30+0
30,30,length,female,10,36.08,30+0
30,30,length,female,50,39.41,30+0
30,30,length,female,90,42.74,30+0
30,30,length,female,95,43.68,30+0
30,30,length,female,97,44.3,30+0
30,30,length,female,3,34.88,30+2
30,30,length,female,5,35.5,30+2
30,30,length,female,10,36.44,30+2
30,30,length,female,50,39.77,30+2
30,30,length,female,90,43.1,30+2
30,30,length,female,95,44.05,30+2
30,30,length,female,97,44.66,30+2
30,30,length,female,3,35.24,30+4
30,30,length,female,5,35.86,30+4
30,30,length,female,10,36.8,30+4
30,30,length,female,50,40.13,30+4
30,30,length,female,90,43.47,30+4
30,30,length,female,95,44.41,30+4
30,30,length,female,97,45.02,30+4
30,30,length,female,3,35.61,30+6
30,30,length,female,5,36.22,30+6
30,30,length,female,10,37.17,30+6
30,30,length,female,50,40.5,30+6
30,30,length,female,90,43.83,30+6
30,30,length,female,95,44.77,30+6
30,30,length,female,97,45.39,30+6
31,31,length,female,3,35.97,31+1
