ga_label,ga_weeks,measure,sex,centile,value,ga_weeks_days
24,24,wt,male,3,0.44,24+0
24,24,wt,male,5,0.46,24+0
24,24,wt,male,10,0.5,24+0
24,24,wt,male,50,0.64,24+0
24,24,wt,male,90,0.82,24+0
24,24,wt,male,95,0.88,24+0
24,24,wt,male,97,0.92,24+0
24,24,wt,male,3,0.46,24+2
24,24,wt,male,5,0.48,24+2
24,24,wt,male,10,0.52,24+2
24,24,wt,male,50,0.66,24+2
24,24,wt,male,90,0.85,24+2
24,24,wt,male,95,0.91,24+2
24,24,wt,male,97,0.95,24+2
24,24,wt,male,3,0.48,24+4
24,24,wt,male,5,0.5,24+4
24,24,wt,male,10,0.54,24+4
24,24,wt,male,50,0.69,24+4
24,24,wt,male,90,0.88,24+4
24,24,wt,male,95,0.95,24+4
24,24,wt,male,97,0.99,24+4
24,24,wt,male,3,0.5,24+6
24,24,wt,male,5,0.52,24+6
24,24,wt,male,10,0.56,24+6
24,24,wt,male,50,0.72,24+6
24,24,wt,male,90,0.92,24+6
24,24,wt,male,95,0.98,24+6
24,24,wt,male,97,1.03,24+6
25,25,wt,male,3,0.52,25+1
25,25,wt,male,5,0.54,25+1
25,25,wt,male,10,0.58,25+1
25,25,wt,male,50,0.74,25+1
25,25,wt,male,90,0.95,25+1
25,25,wt,male,95,1.02,25+1
25,25,wt,male,97,1.07,25+1
25,25,wt,male,3,0.54,25+3
25,25,wt,male,5,0.56,25+3
25,25,wt,male,10,0.6,25+3
25,25,wt,male,50,0.77,25+3
25,25,wt,male,90,0.99,25+3
25,25,wt,male,95,1.06,25+3
25,25,wt,male,97,1.11,25+3
25,25,wt,male,3,0.56,25+5
25,25,wt,male,5,0.58,25+5
25,25,wt,male,10,0.63,25+5
25,25,wt,male,50,0.8,25+5
25,25,wt,male,90,1.03,25+5
25,25,wt,male,95,1.1,25+5
25,25,wt,male,97,1.15,25+5
26,26,wt,male,3,0.58,26+0
26,26,wt,male,5,0.6,26+0
26,26,wt,male,10,0.65,26+0
26,26,wt,male,50,0.83,26+0
26,26,wt,male,90,1.06,26+0
26,26,wt,male,95,1.14,26+0
26,26,wt,male,97,1.2,26+0
26,26,wt,male,3,0.6,26+2
26,26,wt,male,5,0.63,26+2
26,26,wt,male,10,0.67,26+2
26,26,wt,male,50,0.86,26+2
26,26,wt,male,90,1.1,26+2
26,26,wt,male,95,1.19,26+2
26,26,wt,male,97,1.24,26+2
26,26,wt,male,3,0.62,26+4
26,26,wt,male,5,0.65,26+4
26,26,wt,male,10,0.7,26+4
26,26,wt,male,50,0.89,26+4
26,26,wt,male,90,1.15,26+4
26,26,wt,male,95,1.23,26+4
26,26,wt,male,97,1.29,26+4
26,26,wt,male,3,0.65,26+6
26,26,wt,male,5,0.68,26+6
26,26,wt,male,10,0.72,26+6
26,26,wt,male,50,0.93,26+6
26,26,wt,male,90,1.19,26+6
26,26,wt,male,95,1.28,26+6
26,26,wt,male,97,1.33,26+6
27,27,wt,male,3,0.67,27+1
27,27,wt,male,5,0.7,27+1
27,27,wt,male,10,0.75,27+1
27,27,wt,male,50,0.96,27+1
27,27,wt,male,90,1.23,27+1
27,27,wt,male,95,1.32,27+1
27,27,wt,male,97,1.38,27+1
27,27,wt,male,3,0.69,27+3
27,27,wt,male,5,0.73,27+3
27,27,wt,male,10,0.78,27+3
27,27,wt,male,50,1.0,27+3
27,27,wt,male,90,1.28,27+3
27,27,wt,male,95,1.37,27+3
27,27,wt,male,97,1.44,27+3
27,27,wt,male,3,0.72,27+5
