ga_label,ga_weeks,measure,sex,centile,value,ga_weeks_days
24,24,wt,female,3,0.42,24+0
24,24,wt,female,5,0.44,24+0
24,24,wt,female,10,0.47,24+0
24,24,wt,female,50,0.6,24+0
24,24,wt,female,90,0.77,24+0
24,24,wt,female,95,0.83,24+0
24,24,wt,female,97,0.87,24+0
24,24,wt,female,3,0.44,24+2
24,24,wt,female,5,0.46,24+2
24,24,wt,female,10,0.49,24+2
24,24,wt,female,50,0.63,24+2
24,24,wt,female,90,0.8,24+2
24,24,wt,female,95,0.86,24+2
24,24,wt,female,97,0.9,24+2
24,24,wt,female,3,0.45,24+4
24,24,wt,female,5,0.47,24+4
24,24,wt,female,10,0.51,24+4
24,24,wt,female,50,0.65,24+4
24,24,wt,female,90,0.83,24+4
24,24,wt,female,95,0.89,24+4
24,24,wt,female,97,0.94,24+4
24,24,wt,female,3,0.47,24+6
24,24,wt,female,5,0.49,24+6
24,24,wt,female,10,0.53,24+6
24,24,wt,female,50,0.68,24+6
24,24,wt,female,90,0.87,24+6
24,24,wt,female,95,0.93,24+6
24,24,wt,female,97,0.97,24+6
25,25,wt,female,3,0.49,25+1
25,25,wt,female,5,0.51,25+1
25,25,wt,female,10,0.55,25+1
25,25,wt,female,50,0.7,25+1
25,25,wt,female,90,0.9,25+1
25,25,wt,female,95,0.96,25+1
25,25,wt,female,97,1.01,25+1
25,25,wt,female,3,0.51,25+3
25,25,wt,female,5,0.53,25+3
25,25,wt,female,10,0.57,25+3
25,25,wt,female,50,0.73,25+3
25,25,wt,female,90,0.93,25+3
25,25,wt,female,95,1.0,25+3
25,25,wt,female,97,1.05,25+3
25,25,wt,female,3,0.53,25+5
25,25,wt,female,5,0.55,25+5
25,25,wt,female,10,0.59,25+5
25,25,wt,female,50,0.76,25+5
25,25,wt,female,90,0.97,25+5
25,25,wt,female,95,1.04,25+5
25,25,wt,female,97,1.09,25+5
26,26,wt,female,3,0.55,26+0
26,26,wt,female,5,0.57,26+0
26,26,wt,female,10,0.61,26+0
26,26,wt,female,50,0.78,26+0
26,26,wt,female,90,1.01,26+0
26,26,wt,female,95,1.08,26+0
26,26,wt,female,97,1.13,26+0
