measure,sex,ga_label,ga_weeks,z_level,value
length,female,33+0,33.0,-3,37.2
length,female,33+0,33.0,-2,39.5
length,female,33+0,33.0,-1,41.6
length,female,33+0,33.0,0,43.4
length,female,33+0,33.0,1,45.2
length,female,33+0,33.0,2,47.1
length,female,33+0,33.0,3,49.3
length,female,33+1,33.142857142857146,-3,37.4
length,female,33+1,33.142857142857146,-2,39.7
length,female,33+1,33.142857142857146,-1,41.7
length,female,33+1,33.142857142857146,0,43.6
length,female,33+1,33.142857142857146,1,45.4
length,female,33+1,33.142857142857146,2,47.3
length,female,33+1,33.142857142857146,3,49.5
length,female,33+2,33.285714285714285,-3,37.6
length,female,33+2,33.285714285714285,-2,39.9
length,female,33+2,33.285714285714285,-1,41.9
length,female,33+2,33.285714285714285,0,43.7
length,female,33+2,33.285714285714285,1,45.5
length,female,33+2,33.285714285714285,2,47.4
length,female,33+2,33.285714285714285,3,49.6
length,female,33+3,33.42857142857143,-3,37.8
length,female,33+3,33.42857142857143,-2,40.1
length,female,33+3,33.42857142857143,-1,42.1
length,female,33+3,33.42857142857143,0,43.9
length,female,33+3,33.42857142857143,1,45.7
length,female,33+3,33.42857142857143,2,47.6
length,female,33+3,33.42857142857143,3,49.8
length,female,33+4,33.57142857142857,-3,38.0
length,female,33+4,33.57142857142857,-2,40.3
length,female,33+4,33.57142857142857,-1,42.3
length,female,33+4,33.57142857142857,0,44.1
length,female,33+4,33.57142857142857,1,45.8
length,female,33+4,33.57142857142857,2,47.7
length,female,33+4,33.57142857142857,3,49.9
length,female,33+5,33.714285714285715,-3,38.1
length,female,33+5,33.714285714285715,-2,40.5
length,female,33+5,33.714285714285715,-1,42.4
length,female,33+5,33.714285714285715,0,44.2
length,female,33+5,33.714285714285715,1,46.0
length,female,33+5,33.714285714285715,2,47.9
length,female,33+5,33.714285714285715,3,50.0
length,female,33+6,33.857142857142854,-3,38.3
length,female,33+6,33.857142857142854,-2,40.6
length,female,33+6,33.857142857142854,-1,42.6
length,female,33+6,33.857142857142854,0,44.4
length,female,33+6,33.857142857142854,1,46.1
length,female,33+6,33.857142857142854,2,48.0
length,female,33+6,33.857142857142854,3,50.2
length,female,34+0,34.0,-3,38.5
length,female,34+0,34.0,-2,40.8
length,female,34+0,34.0,-1,42.8
length,female,34+0,34.0,0,44.6
length,female,34+0,34.0,1,46.3
length,female,34+0,34.0,2,48.2
length,female,34+0,34.0,3,50.3
length,female,34+1,34.142857142857146,-3,38.7
length,female,34+1,34.142857142857146,-2,41.0
length,female,34+1,34.142857142857146,-1,42.9
length,female,34+1,34.142857142857146,0,44.7
length,female,34+1,34.142857142857146,1,46.4
length,female,34+1,34.142857142857146,2,48.3
length,female,34+1,34.142857142857146,3,50.4
length,female,34+2,34.285714285714285,-3,38.8
length,female,34+2,34.285714285714285,-2,41.1
length,female,34+2,34.285714285714285,-1,43.1
length,female,34+2,34.285714285714285,0,44.9
length,female,34+2,34.285714285714285,1,46.6
length,female,34+2,34.285714285714285,2,48.4
length,female,34+2,34.285714285714285,3,50.6
length,female,34+3,34.42857142857143,-3,39.0
length,female,34+3,34.42857142857143,-2,41.3
length,female,34+3,34.42857142857143,-1,43.2
length,female,34+3,34.42857142857143,0,45.0
length,female,34+3,34.42857142857143,1,46.7
length,female,34+3,34.42857142857143,2,48.6
length,female,34+3,34.42857142857143,3,50.7
length,female,34+4,34.57142857142857,-3,39.2
length,female,34+4,34.57142857142857,-2,41.4
length,female,34+4,34.57142857142857,-1,43.4
length,female,34+4,34.57142857142857,0,45.2
