measure,sex,ga_label,ga_weeks,z_level,value
weight,female,33+0,33.0,-3,0.75
weight,female,33+0,33.0,-2,1.15
weight,female,33+0,33.0,-1,1.5
weight,female,33+0,33.0,0,1.85
weight,female,33+0,33.0,1,2.23
weight,female,33+0,33.0,2,2.66
weight,female,33+0,33.0,3,3.16
weight,female,33+1,33.142857142857146,-3,0.79
weight,female,33+1,33.142857142857146,-2,1.19
weight,female,33+1,33.142857142857146,-1,1.55
weight,female,33+1,33.142857142857146,0,1.89
weight,female,33+1,33.142857142857146,1,2.27
weight,female,33+1,33.142857142857146,2,2.7
weight,female,33+1,33.142857142857146,3,3.21
weight,female,33+2,33.285714285714285,-3,0.83
weight,female,33+2,33.285714285714285,-2,1.23
weight,female,33+2,33.285714285714285,-1,1.59
weight,female,33+2,33.285714285714285,0,1.93
weight,female,33+2,33.285714285714285,1,2.31
weight,female,33+2,33.285714285714285,2,2.74
weight,female,33+2,33.285714285714285,3,3.25
weight,female,33+3,33.42857142857143,-3,0.86
weight,female,33+3,33.42857142857143,-2,1.27
weight,female,33+3,33.42857142857143,-1,1.62
weight,female,33+3,33.42857142857143,0,1.97
weight,female,33+3,33.42857142857143,1,2.35
weight,female,33+3,33.42857142857143,2,2.78
weight,female,33+3,33.42857142857143,3,3.29
weight,female,33+4,33.57142857142857,-3,0.9
weight,female,33+4,33.57142857142857,-2,1.31
weight,female,33+4,33.57142857142857,-1,1.66
weight,female,33+4,33.57142857142857,0,2.01
weight,female,33+4,33.57142857142857,1,2.39
weight,female,33+4,33.57142857142857,2,2.83
weight,female,33+4,33.57142857142857,3,3.34
weight,female,33+5,33.714285714285715,-3,0.94
weight,female,33+5,33.714285714285715,-2,1.35
weight,female,33+5,33.714285714285715,-1,1.7
weight,female,33+5,33.714285714285715,0,2.05
weight,female,33+5,33.714285714285715,1,2.43
weight,female,33+5,33.714285714285715,2,2.87
weight,female,33+5,33.714285714285715,3,3.38
weight,female,33+6,33.857142857142854,-3,0.97
weight,female,33+6,33.857142857142854,-2,1.38
weight,female,33+6,33.857142857142854,-1,1.74
weight,female,33+6,33.857142857142854,0,2.09
weight,female,33+6,33.857142857142854,1,2.47
weight,female,33+6,33.857142857142854,2,2.91
weight,female,33+6,33.857142857142854,3,3.42
weight,female,34+0,34.0,-3,1.01
weight,female,34+0,34.0,-2,1.42
weight,female,34+0,34.0,-1,1.78
weight,female,34+0,34.0,0,2.13
weight,female,34+0,34.0,1,2.51
weight,female,34+0,34.0,2,2.95
weight,female,34+0,34.0,3,3.46
weight,female,34+1,34.142857142857146,-3,1.04
weight,female,34+1,34.142857142857146,-2,1.46
weight,female,34+1,34.142857142857146,-1,1.81
weight,female,34+1,34.142857142857146,0,2.16
weight,female,34+1,34.142857142857146,1,2.55
weight,female,34+1,34.142857142857146,2,2.99
weight,female,34+1,34.142857142857146,3,3.5
weight,female,34+2,34.285714285714285,-3,1.08
weight,female,34+2,34.285714285714285,-2,1.49
weight,female,34+2,34.285714285714285,-1,1.85
weight,female,34+2,34.285714285714285,0,2.2
weight,female,34+2,34.285714285714285,1,2.59
weight,female,34+2,34.285714285714285,2,3.03
weight,female,34+2,34.285714285714285,3,3.54
weight,female,34+3,34.42857142857143,-3,1.11
weight,female,34+3,34.42857142857143,-2,1.53
weight,female,34+3,34.42857142857143,-1,1.89
weight,female,34+3,34.42857142857143,0,2.24
weight,female,34+3,34.42857142857143,1,2.63
weight,female,34+3,34.42857142857143,2,3.06
