measure,sex,ga_label,ga_weeks,z_level,value
hc,male,27,27.0,-3.0,19.57
hc,male,27,27.0,-2.0,21.31
hc,male,27,27.0,-1.0,23.04
hc,male,27,27.0,0.0,24.78
hc,male,27,27.0,1.0,26.51
hc,male,27,27.0,2.0,28.24
hc,male,27,27.0,3.0,29.98
hc,male,28,28.0,-3.0,21.11
hc,male,28,28.0,-2.0,22.71
hc,male,28,28.0,-1.0,24.31
hc,male,28,28.0,0.0,25.9
hc,male,28,28.0,1.0,27.5
hc,male,28,28.0,2.0,29.1
hc,male,28,28.0,3.0,30.69
hc,male,29,29.0,-3.0,22.51
hc,male,29,29.0,-2.0,23.99
hc,male,29,29.0,-1.0,25.47
hc,male,29,29.0,0.0,26.95
hc,male,29,29.0,1.0,28.43
hc,male,29,29.0,2.0,29.91
hc,male,29,29.0,3.0,31.4
hc,male,30,30.0,-3.0,23.78
hc,male,30,30.0,-2.0,25.16
hc,male,30,30.0,-1.0,26.55
hc,male,30,30.0,0.0,27.93
hc,male,30,30.0,1.0,29.32
hc,male,30,30.0,2.0,30.7
hc,male,30,30.0,3.0,32.08
hc,male,31,31.0,-3.0,24.94
hc,male,31,31.0,-2.0,26.24
hc,male,31,31.0,-1.0,27.55
hc,male,31,31.0,0.0,28.85
hc,male,31,31.0,1.0,30.15
hc,male,31,31.0,2.0,31.45
hc,male,31,31.0,3.0,32.75
hc,male,32,32.0,-3.0,26.0
hc,male,32,32.0,-2.0,27.24
hc,male,32,32.0,-1.0,28.47
hc,male,32,32.0,0.0,29.71
hc,male,32,32.0,1.0,30.94
hc,male,32,32.0,2.0,32.17
hc,male,32,32.0,3.0,33.41
hc,male,33,33.0,-3.0,26.98
hc,male,33,33.0,-2.0,28.16
hc,male,33,33.0,-1.0,29.34
hc,male,33,33.0,0.0,30.51
hc,male,33,33.0,1.0,31.69
hc,male,33,33.0,2.0,32.87
hc,male,33,33.0,3.0,34.05
hc,male,34,34.0,-3.0,27.88
hc,male,34,34.0,-2.0,29.01
hc,male,34,34.0,-1.0,30.14
hc,male,34,34.0,0.0,31.27
hc,male,34,34.0,1.0,32.4
hc,male,34,34.0,2.0,33.53
hc,male,34,34.0,3.0,34.66
hc,male,35,35.0,-3.0,28.72
hc,male,35,35.0,-2.0,29.81
hc,male,35,35.0,-1.0,30.9
hc,male,35,35.0,0.0,31.99
hc,male,35,35.0,1.0,33.08
hc,male,35,35.0,2.0,34.17
hc,male,35,35.0,3.0,35.26
hc,male,36,36.0,-3.0,29.49
hc,male,36,36.0,-2.0,30.55
hc,male,36,36.0,-1.0,31.61
hc,male,36,36.0,0.0,32.67
hc,male,36,36.0,1.0,33.72
hc,male,36,36.0,2.0,34.78
hc,male,36,36.0,3.0,35.84
hc,male,37,37.0,-3.0,30.2
hc,male,37,37.0,-2.0,31.24
hc,male,37,37.0,-1.0,32.27
hc,male,37,37.0,0.0,33.3
hc,male,37,37.0,1.0,34.34
hc,male,37,37.0,2.0,35.37
hc,male,37,37.0,3.0,36.41
hc,male,38,38.0,-3.0,30.87
hc,male,38,38.0,-2.0,31.88
hc,male,38,38.0,-1.0,32.9
hc,male,38,38.0,0.0,33.91
hc,male,38,38.0,1.0,34.93
hc,male,38,38.0,2.0,35.94
hc,male,38,38.0,3.0,36.95
hc,male,39,39.0,-3.0,31.49
hc,male,39,39.0,-2.0,32.49
hc,male,39,39.0,-1.0,33.49
hc,male,39,39.0,0.0,34.49
hc,male,39,39.0,1.0,35.48
hc,male,39,39.0,2.0,36.48
hc,male,39,39.0,3.0,37.48
hc,male,40,40.0,-3.0,32.07
hc,male,40,40.0,-2.0,33.06
hc,male,40,40.0,-1.0,34.04
hc,male,40,40.0,0.0,35.03
hc,male,40,40.0,1.0,36.02
hc,male,40,40.0,2.0,37.01
hc,male,40,40.0,3.0,38.0
hc,male,41,41.0,-3.0,32.61
hc,male,41,41.0,-2.0,33.59
hc,male,41,41.0,-1.0,34.57
hc,male,41,41.0,0.0,35.55
hc,male,41,41.0,1.0,36.53
hc,male,41,41.0,2.0,37.51
hc,male,41,41.0,3.0,38.49
hc,male,42,42.0,-3.0,33.12
hc,male,42,42.0,-2.0,34.09
hc,male,42,42.0,-1.0,35.07
hc,male,42,42.0,0.0,36.05
hc,male,42,42.0,1.0,37.02
hc,male,42,42.0,2.0,38.0
hc,male,42,42.0,3.0,38.97
hc,male,43,43.0,-3.0,33.6
hc,male,43,43.0,-2.0,34.57
hc,male,43,43.0,-1.0,35.54
hc,male,43,43.0,0.0,36.52
hc,male,43,43.0,1.0,37.49
hc,male,43,43.0,2.0,38.47
hc,male,43,43.0,3.0,39.44
hc,male,44,44.0,-3.0,34.05
hc,male,44,44.0,-2.0,35.02
hc,male,44,44.0,-1.0,35.99
hc,male,44,44.0,0.0,36.97
hc,male,44,44.0,1.0,37.94
hc,male,44,44.0,2.0,38.92
hc,male,44,44.0,3.0,39.89
hc,male,45,45.0,-3.0,34.47
hc,male,45,45.0,-2.0,35.45
hc,male,45,45.0,-1.0,36.42
hc,male,45,45.0,0.0,37.4
hc,male,45,45.0,1.0,38.38
hc,male,45,45.0,2.0,39.35
hc,male,45,45.0,3.0,40.33
hc,male,46,46.0,-3.0,34.87
hc,male,46,46.0,-2.0,35.85
hc,male,46,46.0,-1.0,36.83
hc,male,46,46.0,0.0,37.81
hc,male,46,46.0,1.0,38.79
hc,male,46,46.0,2.0,39.77
hc,male,46,46.0,3.0,40.75
hc,male,47,47.0,-3.0,35.24
hc,male,47,47.0,-2.0,36.23
hc,male,47,47.0,-1.0,37.22
hc,male,47,47.0,0.0,38.2
hc,male,47,47.0,1.0,39.19
hc,male,47,47.0,2.0,40.18
hc,male,47,47.0,3.0,41.16
hc,male,48,48.0,-3.0,35.6
hc,male,48,48.0,-2.0,36.59
hc,male,48,48.0,-1.0,37.59
hc,male,48,48.0,0.0,38.58
hc,male,48,48.0,1.0,39.58
hc,male,48,48.0,2.0,40.57
hc,male,48,48.0,3.0,41.56
hc,male,49,49.0,-3.0,35.94
hc,male,49,49.0,-2.0,36.94
hc,male,49,49.0,-1.0,37.94
hc,male,49,49.0,0.0,38.94
hc,male,49,49.0,1.0,39.95
hc,male,49,49.0,2.0,40.95
hc,male,49,49.0,3.0,41.95
hc,male,50,50.0,-3.0,36.26
hc,male,50,50.0,-2.0,37.27
hc,male,50,50.0,-1.0,38.28
hc,male,50,50.0,0.0,39.29
hc,male,50,50.0,1.0,40.3
hc,male,50,50.0,2.0,41.31
hc,male,50,50.0,3.0,42.32
hc,male,51,51.0,-3.0,36.56
hc,male,51,51.0,-2.0,37.58
hc,male,51,51.0,-1.0,38.6
hc,male,51,51.0,0.0,39.63
hc,male,51,51.0,1.0,40.65
hc,male,51,51.0,2.0,41.67
hc,male,51,51.0,3.0,42.69
hc,male,52,52.0,-3.0,36.85
hc,male,52,52.0,-2.0,37.88
hc,male,52,52.0,-1.0,38.92
hc,male,52,52.0,0.0,39.95
hc,male,52,52.0,1.0,40.98
hc,male,52,52.0,2.0,42.01
hc,male,52,52.0,3.0,43.04
hc,male,53,53.0,-3.0,37.13
hc,male,53,53.0,-2.0,38.17
hc,male,53,53.0,-1.0,39.21
hc,male,53,53.0,0.0,40.26
hc,male,53,53.0,1.0,41.3
hc,male,53,53.0,2.0,42.34
hc,male,53,53.0,3.0,43.39
hc,male,54,54.0,-3.0,37.39
hc,male,54,54.0,-2.0,38.44
hc,male,54,54.0,-1.0,39.5
hc,male,54,54.0,0.0,40.55
hc,male,54,54.0,1.0,41.61
hc,male,54,54.0,2.0,42.66
hc,male,54,54.0,3.0,43.72
hc,male,55,55.0,-3.0,37.64
hc,male,55,55.0,-2.0,38.71
hc,male,55,55.0,-1.0,39.77
hc,male,55,55.0,0.0,40.84
hc,male,55,55.0,1.0,41.91
hc,male,55,55.0,2.0,42.98
hc,male,55,55.0,3.0,44.04
hc,male,56,56.0,-3.0,37.88
hc,male,56,56.0,-2.0,38.96
hc,male,56,56.0,-1.0,40.04
hc,male,56,56.0,0.0,41.12
hc,male,56,56.0,1.0,42.2
hc,male,56,56.0,2.0,43.28
hc,male,56,56.0,3.0,44.36
hc,male,57,57.0,-3.0,38.1
hc,male,57,57.0,-2.0,39.2
hc,male,57,57.0,-1.0,40.29
hc,male,57,57.0,0.0,41.38
hc,male,57,57.0,1.0,42.48
hc,male,57,57.0,2.0,43.57
hc,male,57,57.0,3.0,44.67
