measure,sex,ga_label,ga_weeks,z_level,value
length,female,27,27.0,-3.0,25.76
length,female,28,28.0,-3.0,27.68
length,female,29,29.0,-3.0,29.5
length,female,30,30.0,-3.0,31.24
length,female,31,31.0,-3.0,32.88
length,female,32,32.0,-3.0,34.43
length,female,33,33.0,-3.0,35.91
length,female,34,34.0,-3.0,37.3
length,female,35,35.0,-3.0,38.61
length,female,36,36.0,-3.0,39.85
length,female,37,37.0,-3.0,41.02
length,female,38,38.0,-3.0,42.13
length,female,39,39.0,-3.0,43.18
length,female,40,40.0,-3.0,44.17
length,female,41,41.0,-3.0,45.11
length,female,42,42.0,-3.0,46.01
length,female,43,43.0,-3.0,46.85
length,female,44,44.0,-3.0,47.66
length,female,45,45.0,-3.0,48.42
length,female,46,46.0,-3.0,49.15
length,female,47,47.0,-3.0,49.85
length,female,48,48.0,-3.0,50.52
length,female,49,49.0,-3.0,51.15
length,female,50,50.0,-3.0,51.76
length,female,51,51.0,-3.0,52.34
length,female,52,52.0,-3.0,52.9
length,female,53,53.0,-3.0,53.44
length,female,54,54.0,-3.0,53.96
length,female,55,55.0,-3.0,54.46
length,female,56,56.0,-3.0,54.94
length,female,57,57.0,-3.0,55.4
length,female,58,58.0,-3.0,55.85
length,female,59,59.0,-3.0,56.28
length,female,60,60.0,-3.0,56.7
length,female,61,61.0,-3.0,57.11
length,female,62,62.0,-3.0,57.51
length,female,63,63.0,-3.0,57.89
length,female,64,64.0,-3.0,58.27
length,female,27,27.0,-2.0,27.61
length,female,28,28.0,-2.0,29.5
length,female,29,29.0,-2.0,31.29
length,female,30,30.0,-2.0,33.0
length,female,31,31.0,-2.0,34.62
length,female,32,32.0,-2.0,36.16
length,female,33,33.0,-2.0,37.61
length,female,34,34.0,-2.0,38.98
length,female,35,35.0,-2.0,40.28
length,female,36,36.0,-2.0,41.52
length,female,37,37.0,-2.0,42.68
length,female,38,38.0,-2.0,43.79
length,female,39,39.0,-2.0,44.84
length,female,40,40.0,-2.0,45.83
length,female,41,41.0,-2.0,46.77
length,female,42,42.0,-2.0,47.67
length,female,43,43.0,-2.0,48.53
length,female,44,44.0,-2.0,49.34
length,female,45,45.0,-2.0,50.12
length,female,46,46.0,-2.0,50.87
length,female,47,47.0,-2.0,51.58
length,female,48,48.0,-2.0,52.26
length,female,49,49.0,-2.0,52.91
length,female,50,50.0,-2.0,53.53
length,female,51,51.0,-2.0,54.14
length,female,52,52.0,-2.0,54.72
length,female,53,53.0,-2.0,55.27
length,female,54,54.0,-2.0,55.81
length,female,55,55.0,-2.0,56.33
length,female,56,56.0,-2.0,56.83
length,female,57,57.0,-2.0,57.31
length,female,58,58.0,-2.0,57.78
length,female,59,59.0,-2.0,58.24
length,female,60,60.0,-2.0,58.68
length,female,61,61.0,-2.0,59.11
length,female,62,62.0,-2.0,59.53
length,female,63,63.0,-2.0,59.94
length,female,64,64.0,-2.0,60.33
length,female,27,27.0,-1.0,29.58
length,female,28,28.0,-1.0,31.43
length,female,29,29.0,-1.0,33.2
length,female,30,30.0,-1.0,34.87
length,female,31,31.0,-1.0,36.46
length,female,32,32.0,-1.0,37.97
length,female,33,33.0,-1.0,39.39
length,female,34,34.0,-1.0,40.75
length,female,35,35.0,-1.0,42.03
length,female,36,36.0,-1.0,43.25
length,female,37,37.0,-1.0,44.41
length,female,38,38.0,-1.0,45.51
length,female,39,39.0,-1.0,46.55
length,female,40,40.0,-1.0,47.55
length,female,41,41.0,-1.0,48.5
length,female,42,42.0,-1.0,49.4
length,female,43,43.0,-1.0,50.27
length,female,44,44.0,-1.0,51.09
length,female,45,45.0,-1.0,51.88
length,female,46,46.0,-1.0,52.64
length,female,47,47.0,-1.0,53.36
length,female,48,48.0,-1.0,54.06
length,female,49,49.0,-1.0,54.73
