measure,sex,ga_label,ga_weeks,z_level,value
weight,female,27,27.0,-3.0,0.33
weight,female,28,28.0,-3.0,0.42
weight,female,29,29.0,-3.0,0.52
weight,female,30,30.0,-3.0,0.63
weight,female,31,31.0,-3.0,0.75
weight,female,32,32.0,-3.0,0.88
weight,female,33,33.0,-3.0,1.02
weight,female,34,34.0,-3.0,1.16
weight,female,35,35.0,-3.0,1.3
weight,female,36,36.0,-3.0,1.45
weight,female,37,37.0,-3.0,1.6
weight,female,38,38.0,-3.0,1.75
weight,female,39,39.0,-3.0,1.91
weight,female,40,40.0,-3.0,2.06
weight,female,41,41.0,-3.0,2.21
weight,female,42,42.0,-3.0,2.36
weight,female,43,43.0,-3.0,2.5
weight,female,44,44.0,-3.0,2.65
weight,female,45,45.0,-3.0,2.79
weight,female,46,46.0,-3.0,2.93
weight,female,47,47.0,-3.0,3.06
weight,female,48,48.0,-3.0,3.2
weight,female,49,49.0,-3.0,3.32
weight,female,50,50.0,-3.0,3.45
weight,female,51,51.0,-3.0,3.57
weight,female,52,52.0,-3.0,3.69
weight,female,53,53.0,-3.0,3.8
weight,female,54,54.0,-3.0,3.91
weight,female,55,55.0,-3.0,4.02
weight,female,56,56.0,-3.0,4.12
weight,female,57,57.0,-3.0,4.23
weight,female,58,58.0,-3.0,4.32
weight,female,59,59.0,-3.0,4.42
weight,female,60,60.0,-3.0,4.51
weight,female,61,61.0,-3.0,4.59
weight,female,62,62.0,-3.0,4.68
weight,female,63,63.0,-3.0,4.76
weight,female,64,64.0,-3.0,4.84
weight,female,27,27.0,-2.0,0.4
weight,female,28,28.0,-2.0,0.51
weight,female,29,29.0,-2.0,0.63
weight,female,30,30.0,-2.0,0.76
weight,female,31,31.0,-2.0,0.9
weight,female,32,32.0,-2.0,1.04
weight,female,33,33.0,-2.0,1.2
weight,female,34,34.0,-2.0,1.36
weight,female,35,35.0,-2.0,1.52
weight,female,36,36.0,-2.0,1.69
weight,female,37,37.0,-2.0,1.86
weight,female,38,38.0,-2.0,2.03
weight,female,39,39.0,-2.0,2.2
weight,female,40,40.0,-2.0,2.37
weight,female,41,41.0,-2.0,2.54
weight,female,42,42.0,-2.0,2.7
weight,female,43,43.0,-2.0,2.87
weight,female,44,44.0,-2.0,3.03
weight,female,45,45.0,-2.0,3.19
weight,female,46,46.0,-2.0,3.34
