ga_label,ga_weeks,measure,sex,value,z_level
27,27.0,hc,male,19.57,-3.0
27,27.0,hc,male,21.31,-2.0
27,27.0,hc,male,23.04,-1.0
27,27.0,hc,male,24.78,0.0
27,27.0,hc,male,26.51,1.0
27,27.0,hc,male,28.24,2.0
27,27.0,hc,male,29.98,3.0
28,28.0,hc,male,21.11,-3.0
28,28.0,hc,male,22.71,-2.0
28,28.0,hc,male,24.31,-1.0
28,28.0,hc,male,25.9,0.0
28,28.0,hc,male,27.5,1.0
28,28.0,hc,male,29.1,2.0
28,28.0,hc,male,30.69,3.0
29,29.0,hc,male,22.51,-3.0
29,29.0,hc,male,23.99,-2.0
29,29.0,hc,male,25.47,-1.0
29,29.0,hc,male,26.95,0.0
29,29.0,hc,male,28.43,1.0
29,29.0,hc,male,29.91,2.0
29,29.0,hc,male,31.4,3.0
30,30.0,hc,male,23.78,-3.0
30,30.0,hc,male,25.16,-2.0
30,30.0,hc,male,26.55,-1.0
30,30.0,hc,male,27.93,0.0
30,30.0,hc,male,29.32,1.0
30,30.0,hc,male,30.7,2.0
30,30.0,hc,male,32.08,3.0
31,31.0,hc,male,24.94,-3.0
31,31.0,hc,male,26.24,-2.0
31,31.0,hc,male,27.55,-1.0
31,31.0,hc,male,28.85,0.0
31,31.0,hc,male,30.15,1.0
31,31.0,hc,male,31.45,2.0
31,31.0,hc,male,32.75,3.0
32,32.0,hc,male,26.0,-3.0
32,32.0,hc,male,27.24,-2.0
32,32.0,hc,male,28.47,-1.0
32,32.0,hc,male,29.71,0.0
32,32.0,hc,male,30.94,1.0
32,32.0,hc,male,32.17,2.0
32,32.0,hc,male,33.41,3.0
33,33.0,hc,male,26.98,-3.0
33,33.0,hc,male,28.16,-2.0
33,33.0,hc,male,29.34,-1.0
33,33.0,hc,male,30.51,0.0
33,33.0,hc,male,31.69,1.0
33,33.0,hc,male,32.87,2.0
33,33.0,hc,male,34.05,3.0
34,34.0,hc,male,27.88,-3.0
34,34.0,hc,male,29.01,-2.0
34,34.0,hc,male,30.14,-1.0
