measure,sex,ga_label,ga_weeks,z_level,value,source_file
weight,female,33+0,33.0,-3,0.75,international_newborn_size_girls_weight_z_long.csv
weight,female,33+0,33.0,-2,1.15,international_newborn_size_girls_weight_z_long.csv
weight,female,33+0,33.0,-1,1.5,international_newborn_size_girls_weight_z_long.csv
weight,female,33+0,33.0,0,1.85,international_newborn_size_girls_weight_z_long.csv
weight,female,33+0,33.0,1,2.23,international_newborn_size_girls_weight_z_long.csv
weight,female,33+0,33.0,2,2.66,international_newborn_size_girls_weight_z_long.csv
weight,female,33+0,33.0,3,3.16,international_newborn_size_girls_weight_z_long.csv
weight,female,33+1,33.142857142857146,-3,0.79,international_newborn_size_girls_weight_z_long.csv
weight,female,33+1,33.142857142857146,-2,1.19,international_newborn_size_girls_weight_z_long.csv
weight,female,33+1,33.142857142857146,-1,1.55,international_newborn_size_girls_weight_z_long.csv
weight,female,33+1,33.142857142857146,0,1.89,international_newborn_size_girls_weight_z_long.csv
weight,female,33+1,33.142857142857146,1,2.27,international_newborn_size_girls_weight_z_long.csv
weight,female,33+1,33.142857142857146,2,2.7,international_newborn_size_girls_weight_z_long.csv
weight,female,33+1,33.142857142857146,3,3.21,international_newborn_size_girls_weight_z_long.csv
weight,female,33+2,33.285714285714285,-3,0.83,international_newborn_size_girls_weight_z_long.csv
weight,female,33+2,33.285714285714285,-2,1.23,international_newborn_size_girls_weight_z_long.csv
weight,female,33+2,33.285714285714285,-1,1.59,international_newborn_size_girls_weight_z_long.csv
weight,female,33+2,33.285714285714285,0,1.93,international_newborn_size_girls_weight_z_long.csv
weight,female,33+2,33.285714285714285,1,2.31,international_newborn_size_girls_weight_z_long.csv
weight,female,33+2,33.285714285714285,2,2.74,international_newborn_size_girls_weight_z_long.csv
weight,female,33+2,33.285714285714285,3,3.25,international_newborn_size_girls_weight_z_long.csv
weight,female,33+3,33.42857142857143,-3,0.86,international_newborn_size_girls_weight_z_long.csv
weight,female,33+3,33.42857142857143,-2,1.27,international_newborn_size_girls_weight_z_long.csv
weight,female,33+3,33.42857142857143,-1,1.62,international_newborn_size_girls_weight_z_long.csv
weight,female,33+3,33.42857142857143,0,1.97,international_newborn_size_girls_weight_z_long.csv
weight,female,33+3,33.42857142857143,1,2.35,international_newborn_size_girls_weight_z_long.csv
weight,female,33+3,33.42857142857143,2,2.78,international_newborn_size_girls_weight_z_long.csv
weight,female,33+3,33.42857142857143,3,3.29,international_newborn_size_girls_weight_z_long.csv
weight,female,33+4,33.57142857142857,-3,0.9,international_newborn_size_girls_weight_z_long.csv
weight,female,33+4,33.57142857142857,-2,1.31,international_newborn_size_girls_weight_z_long.csv
weight,female,33+4,33.57142857142857,-1,1.66,international_newborn_size_girls_weight_z_long.csv
weight,female,33+4,33.57142857142857,0,2.01,international_newborn_size_girls_weight_z_long.csv
weight,female,33+4,33.57142857142857,1,2.39,international_newborn_size_girls_weight_z_long.csv
weight,female,33+4,33.57142857142857,2,2.83,international_newborn_size_girls_weight_z_long.csv
weight,female,33+4,33.57142857142857,3,3.34,international_newborn_size_girls_weight_z_long.csv
weight,female,33+5,33.714285714285715,-3,0.94,international_newborn_size_girls_weight_z_long.csv
weight,female,33+5,33.714285714285715,-2,1.35,international_newborn_size_girls_weight_z_long.csv
weight,female,33+5,33.714285714285715,-1,1.7,international_newborn_size_girls_weight_z_long.csv
weight,female,33+5,33.714285714285715,0,2.05,international_newborn_size_girls_weight_z_long.csv
weight,female,33+5,33.714285714285715,1,2.43,international_newborn_size_girls_weight_z_long.csv
weight,female,33+5,33.714285714285715,2,2.87,international_newborn_size_girls_weight_z_long.csv
weight,female,33+5,33.714285714285715,3,3.38,international_newborn_size_girls_weight_z_long.csv
weight,female,33+6,33.857142857142854,-3,0.97,international_newborn_size_girls_weight_z_long.csv
weight,female,33+6,33.857142857142854,-2,1.38,international_newborn_size_girls_weight_z_long.csv
weight,female,33+6,33.857142857142854,-1,1.74,international_newborn_size_girls_weight_z_long.csv
weight,female,33+6,33.857142857142854,0,2.09,international_newborn_size_girls_weight_z_long.csv
weight,female,33+6,33.857142857142854,1,2.47,international_newborn_size_girls_weight_z_long.csv
weight,female,33+6,33.857142857142854,2,2.91,international_newborn_size_girls_weight_z_long.csv
weight,female,33+6,33.857142857142854,3,3.42,international_newborn_size_girls_weight_z_long.csv
weight,female,34+0,34.0,-3,1.01,international_newborn_size_girls_weight_z_long.csv
weight,female,34+0,34.0,-2,1.42,international_newborn_size_girls_weight_z_long.csv
weight,female,34+0,34.0,-1,1.78,international_newborn_size_girls_weight_z_long.csv
weight,female,34+0,34.0,0,2.13,international_newborn_size_girls_weight_z_long.csv
weight,female,34+0,34.0,1,2.51,international_newborn_size_girls_weight_z_long.csv
weight,female,34+0,34.0,2,2.95,international_newborn_size_girls_weight_z_long.csv
weight,female,34+0,34.0,3,3.46,international_newborn_size_girls_weight_z_long.csv
weight,female,34+1,34.142857142857146,-3,1.04,international_newborn_size_girls_weight_z_long.csv
weight,female,34+1,34.142857142857146,-2,1.46,international_newborn_size_girls_weight_z_long.csv
weight,female,34+1,34.142857142857146,-1,1.81,international_newborn_size_girls_weight_z_long.csv
weight,female,34+1,34.142857142857146,0,2.16,international_newborn_size_girls_weight_z_long.csv
weight,female,34+1,34.142857142857146,1,2.55,international_newborn_size_girls_weight_z_long.csv
weight,female,34+1,34.142857142857146,2,2.99,international_newborn_size_girls_weight_z_long.csv
weight,female,34+1,34.142857142857146,3,3.5,international_newborn_size_girls_weight_z_long.csv
weight,female,34+2,34.285714285714285,-3,1.08,international_newborn_size_girls_weight_z_long.csv
weight,female,34+2,34.285714285714285,-2,1.49,international_newborn_size_girls_weight_z_long.csv
weight,female,34+2,34.285714285714285,-1,1.85,international_newborn_size_girls_weight_z_long.csv
weight,female,34+2,34.285714285714285,0,2.2,international_newborn_size_girls_weight_z_long.csv
weight,female,34+2,34.285714285714285,1,2.59,international_newborn_size_girls_weight_z_long.csv
weight,female,34+2,34.285714285714285,2,3.03,international_newborn_size_girls_weight_z_long.csv
weight,female,34+2,34.285714285714285,3,3.54,international_newborn_size_girls_weight_z_long.csv
weight,female,34+3,34.42857142857143,-3,1.11,international_newborn_size_girls_weight_z_long.csv
weight,female,34+3,34.42857142857143,-2,1.53,international_newborn_size_girls_weight_z_long.csv
weight,female,34+3,34.42857142857143,-1,1.89,international_newborn_size_girls_weight_z_long.csv
weight,female,34+3,34.42857142857143,0,2.24,international_newborn_size_girls_weight_z_long.csv
weight,female,34+3,34.42857142857143,1,2.63,international_newborn_size_girls_weight_z_long.csv
weight,female,34+3,34.42857142857143,2,3.06,international_newborn_size_girls_weight_z_long.csv
weight,female,34+3,34.42857142857143,3,3.58,international_newborn_size_girls_weight_z_long.csv
weight,female,34+4,34.57142857142857,-3,1.15,international_newborn_size_girls_weight_z_long.csv
weight,female,34+4,34.57142857142857,-2,1.56,international_newborn_size_girls_weight_z_long.csv
weight,female,34+4,34.57142857142857,-1,1.92,international_newborn_size_girls_weight_z_long.csv
weight,female,34+4,34.57142857142857,0,2.27,international_newborn_size_girls_weight_z_long.csv
weight,female,34+4,34.57142857142857,1,2.66,international_newborn_size_girls_weight_z_long.csv
weight,female,34+4,34.57142857142857,2,3.1,international_newborn_size_girls_weight_z_long.csv
weight,female,34+4,34.57142857142857,3,3.62,international_newborn_size_girls_weight_z_long.csv
weight,female,34+5,34.714285714285715,-3,1.18,international_newborn_size_girls_weight_z_long.csv
weight,female,34+5,34.714285714285715,-2,1.59,international_newborn_size_girls_weight_z_long.csv
weight,female,34+5,34.714285714285715,-1,1.95,international_newborn_size_girls_weight_z_long.csv
weight,female,34+5,34.714285714285715,0,2.31,international_newborn_size_girls_weight_z_long.csv
weight,female,34+5,34.714285714285715,1,2.7,international_newborn_size_girls_weight_z_long.csv
weight,female,34+5,34.714285714285715,2,3.14,international_newborn_size_girls_weight_z_long.csv
weight,female,34+5,34.714285714285715,3,3.66,international_newborn_size_girls_weight_z_long.csv
weight,female,34+6,34.857142857142854,-3,1.21,international_newborn_size_girls_weight_z_long.csv
weight,female,34+6,34.857142857142854,-2,1.63,international_newborn_size_girls_weight_z_long.csv
weight,female,34+6,34.857142857142854,-1,1.99,international_newborn_size_girls_weight_z_long.csv
weight,female,34+6,34.857142857142854,0,2.34,international_newborn_size_girls_weight_z_long.csv
weight,female,34+6,34.857142857142854,1,2.73,international_newborn_size_girls_weight_z_long.csv
weight,female,34+6,34.857142857142854,2,3.17,international_newborn_size_girls_weight_z_long.csv
weight,female,34+6,34.857142857142854,3,3.7,international_newborn_size_girls_weight_z_long.csv
weight,female,35+0,35.0,-3,1.24,international_newborn_size_girls_weight_z_long.csv
weight,female,35+0,35.0,-2,1.66,international_newborn_size_girls_weight_z_long.csv
weight,female,35+0,35.0,-1,2.02,international_newborn_size_girls_weight_z_long.csv
weight,female,35+0,35.0,0,2.38,international_newborn_size_girls_weight_z_long.csv
weight,female,35+0,35.0,1,2.77,international_newborn_size_girls_weight_z_long.csv
weight,female,35+0,35.0,2,3.21,international_newborn_size_girls_weight_z_long.csv
weight,female,35+0,35.0,3,3.73,international_newborn_size_girls_weight_z_long.csv
weight,female,35+1,35.142857142857146,-3,1.27,international_newborn_size_girls_weight_z_long.csv
weight,female,35+1,35.142857142857146,-2,1.69,international_newborn_size_girls_weight_z_long.csv
weight,female,35+1,35.142857142857146,-1,2.05,international_newborn_size_girls_weight_z_long.csv
weight,female,35+1,35.142857142857146,0,2.41,international_newborn_size_girls_weight_z_long.csv
weight,female,35+1,35.142857142857146,1,2.8,international_newborn_size_girls_weight_z_long.csv
weight,female,35+1,35.142857142857146,2,3.24,international_newborn_size_girls_weight_z_long.csv
weight,female,35+1,35.142857142857146,3,3.77,international_newborn_size_girls_weight_z_long.csv
weight,female,35+2,35.285714285714285,-3,1.31,international_newborn_size_girls_weight_z_long.csv
weight,female,35+2,35.285714285714285,-2,1.72,international_newborn_size_girls_weight_z_long.csv
weight,female,35+2,35.285714285714285,-1,2.09,international_newborn_size_girls_weight_z_long.csv
weight,female,35+2,35.285714285714285,0,2.44,international_newborn_size_girls_weight_z_long.csv
weight,female,35+2,35.285714285714285,1,2.84,international_newborn_size_girls_weight_z_long.csv
weight,female,35+2,35.285714285714285,2,3.28,international_newborn_size_girls_weight_z_long.csv
weight,female,35+2,35.285714285714285,3,3.8,international_newborn_size_girls_weight_z_long.csv
