ga_label,ga_weeks,ga_weeks_days,measure,sex,value,z_level
24,24,24+0,hc,male,17.66,-3
24,24,24+0,hc,male,19.22,-2
24,24,24+0,hc,male,20.78,-1
24,24,24+0,hc,male,22.34,0
24,24,24+0,hc,male,23.9,1
24,24,24+0,hc,male,25.46,2
24,24,24+0,hc,male,27.02,3
24,24,24+2,hc,male,17.92,-3
24,24,24+2,hc,male,19.47,-2
24,24,24+2,hc,male,21.03,-1
24,24,24+2,hc,male,22.59,0
24,24,24+2,hc,male,24.15,1
24,24,24+2,hc,male,25.71,2
24,24,24+2,hc,male,27.27,3
24,24,24+4,hc,male,18.17,-3
24,24,24+4,hc,male,19.73,-2
24,24,24+4,hc,male,21.29,-1
24,24,24+4,hc,male,22.85,0
24,24,24+4,hc,male,24.41,1
24,24,24+4,hc,male,25.97,2
24,24,24+4,hc,male,27.53,3
24,24,24+6,hc,male,18.42,-3
24,24,24+6,hc,male,19.98,-2
24,24,24+6,hc,male,21.54,-1
24,24,24+6,hc,male,23.1,0
24,24,24+6,hc,male,24.66,1
24,24,24+6,hc,male,26.22,2
24,24,24+6,hc,male,27.78,3
25,25,25+1,hc,male,18.68,-3
25,25,25+1,hc,male,20.24,-2
25,25,25+1,hc,male,21.8,-1
25,25,25+1,hc,male,23.36,0
25,25,25+1,hc,male,24.92,1
25,25,25+1,hc,male,26.48,2
25,25,25+1,hc,male,28.04,3
25,25,25+3,hc,male,18.93,-3
25,25,25+3,hc,male,20.49,-2
25,25,25+3,hc,male,22.05,-1
25,25,25+3,hc,male,23.61,0
25,25,25+3,hc,male,25.17,1
25,25,25+3,hc,male,26.73,2
25,25,25+3,hc,male,28.29,3
25,25,25+5,hc,male,19.18,-3
25,25,25+5,hc,male,20.74,-2
25,25,25+5,hc,male,22.3,-1
25,25,25+5,hc,male,23.86,0
25,25,25+5,hc,male,25.42,1
25,25,25+5,hc,male,26.98,2
25,25,25+5,hc,male,28.54,3
26,26,26+0,hc,male,19.44,-3
26,26,26+0,hc,male,21.0,-2
26,26,26+0,hc,male,22.56,-1
26,26,26+0,hc,male,24.12,0
26,26,26+0,hc,male,25.68,1
26,26,26+0,hc,male,27.24,2
26,26,26+0,hc,male,28.8,3
