measure,sex,ga_label,ga_weeks,z_level,value
weight,male,33+0,33.0,-3,0.63
weight,male,33+0,33.0,-2,1.13
weight,male,33+0,33.0,-1,1.55
weight,male,33+0,33.0,0,1.95
weight,male,33+0,33.0,1,2.39
weight,male,33+0,33.0,2,2.88
weight,male,33+0,33.0,3,3.47
weight,male,33+1,33.142857142857146,-3,0.67
weight,male,33+1,33.142857142857146,-2,1.17
weight,male,33+1,33.142857142857146,-1,1.59
weight,male,33+1,33.142857142857146,0,1.99
weight,male,33+1,33.142857142857146,1,2.43
weight,male,33+1,33.142857142857146,2,2.92
weight,male,33+1,33.142857142857146,3,3.51
weight,male,33+2,33.285714285714285,-3,0.71
weight,male,33+2,33.285714285714285,-2,1.21
weight,male,33+2,33.285714285714285,-1,1.63
weight,male,33+2,33.285714285714285,0,2.03
weight,male,33+2,33.285714285714285,1,2.47
weight,male,33+2,33.285714285714285,2,2.96
weight,male,33+2,33.285714285714285,3,3.55
weight,male,33+3,33.42857142857143,-3,0.75
weight,male,33+3,33.42857142857143,-2,1.25
weight,male,33+3,33.42857142857143,-1,1.67
weight,male,33+3,33.42857142857143,0,2.07
weight,male,33+3,33.42857142857143,1,2.5
weight,male,33+3,33.42857142857143,2,2.99
weight,male,33+3,33.42857142857143,3,3.59
weight,male,33+4,33.57142857142857,-3,0.79
weight,male,33+4,33.57142857142857,-2,1.29
weight,male,33+4,33.57142857142857,-1,1.71
weight,male,33+4,33.57142857142857,0,2.11
weight,male,33+4,33.57142857142857,1,2.54
weight,male,33+4,33.57142857142857,2,3.03
weight,male,33+4,33.57142857142857,3,3.62
weight,male,33+5,33.714285714285715,-3,0.83
weight,male,33+5,33.714285714285715,-2,1.33
weight,male,33+5,33.714285714285715,-1,1.75
weight,male,33+5,33.714285714285715,0,2.15
weight,male,33+5,33.714285714285715,1,2.58
weight,male,33+5,33.714285714285715,2,3.07
weight,male,33+5,33.714285714285715,3,3.66
weight,male,33+6,33.857142857142854,-3,0.87
weight,male,33+6,33.857142857142854,-2,1.37
weight,male,33+6,33.857142857142854,-1,1.79
weight,male,33+6,33.857142857142854,0,2.18
weight,male,33+6,33.857142857142854,1,2.62
weight,male,33+6,33.857142857142854,2,3.11
weight,male,33+6,33.857142857142854,3,3.7
weight,male,34+0,34.0,-3,0.91
weight,male,34+0,34.0,-2,1.4
weight,male,34+0,34.0,-1,1.82
weight,male,34+0,34.0,0,2.22
weight,male,34+0,34.0,1,2.65
weight,male,34+0,34.0,2,3.14
weight,male,34+0,34.0,3,3.73
weight,male,34+1,34.142857142857146,-3,0.95
weight,male,34+1,34.142857142857146,-2,1.44
weight,male,34+1,34.142857142857146,-1,1.86
weight,male,34+1,34.142857142857146,0,2.26
weight,male,34+1,34.142857142857146,1,2.69
weight,male,34+1,34.142857142857146,2,3.18
weight,male,34+1,34.142857142857146,3,3.77
weight,male,34+2,34.285714285714285,-3,0.98
weight,male,34+2,34.285714285714285,-2,1.48
weight,male,34+2,34.285714285714285,-1,1.9
weight,male,34+2,34.285714285714285,0,2.29
weight,male,34+2,34.285714285714285,1,2.73
weight,male,34+2,34.285714285714285,2,3.21
weight,male,34+2,34.285714285714285,3,3.8
weight,male,34+3,34.42857142857143,-3,1.02
weight,male,34+3,34.42857142857143,-2,1.51
weight,male,34+3,34.42857142857143,-1,1.93
weight,male,34+3,34.42857142857143,0,2.33
weight,male,34+3,34.42857142857143,1,2.76
weight,male,34+3,34.42857142857143,2,3.25
weight,male,34+3,34.42857142857143,3,3.84
weight,male,34+4,34.57142857142857,-3,1.05
