measure,sex,ga_label,ga_weeks,z_level,value
hc,female,27,27.0,-3.0,18.78
hc,female,28,28.0,-3.0,20.32
hc,female,29,29.0,-3.0,21.71
hc,female,30,30.0,-3.0,22.98
hc,female,31,31.0,-3.0,24.15
hc,female,32,32.0,-3.0,25.21
hc,female,33,33.0,-3.0,26.19
hc,female,34,34.0,-3.0,27.09
hc,female,35,35.0,-3.0,27.92
hc,female,36,36.0,-3.0,28.69
hc,female,37,37.0,-3.0,29.41
hc,female,38,38.0,-3.0,30.07
hc,female,39,39.0,-3.0,30.69
hc,female,40,40.0,-3.0,31.27
hc,female,41,41.0,-3.0,31.81
hc,female,42,42.0,-3.0,32.32
hc,female,43,43.0,-3.0,32.8
hc,female,44,44.0,-3.0,33.25
hc,female,45,45.0,-3.0,33.67
hc,female,46,46.0,-3.0,34.07
hc,female,47,47.0,-3.0,34.45
hc,female,48,48.0,-3.0,34.81
hc,female,49,49.0,-3.0,35.14
hc,female,50,50.0,-3.0,35.46
hc,female,51,51.0,-3.0,35.77
hc,female,52,52.0,-3.0,36.06
hc,female,53,53.0,-3.0,36.33
hc,female,54,54.0,-3.0,36.59
hc,female,55,55.0,-3.0,36.84
hc,female,56,56.0,-3.0,37.08
hc,female,57,57.0,-3.0,37.31
hc,female,58,58.0,-3.0,37.52
hc,female,59,59.0,-3.0,37.73
hc,female,60,60.0,-3.0,37.93
hc,female,61,61.0,-3.0,38.12
hc,female,62,62.0,-3.0,38.3
hc,female,63,63.0,-3.0,38.48
hc,female,64,64.0,-3.0,38.65
hc,female,27,27.0,-2.0,20.51
hc,female,28,28.0,-2.0,21.91
hc,female,29,29.0,-2.0,23.19
hc,female,30,30.0,-2.0,24.37
hc,female,31,31.0,-2.0,25.45
hc,female,32,32.0,-2.0,26.44
hc,female,33,33.0,-2.0,27.36
hc,female,34,34.0,-2.0,28.22
hc,female,35,35.0,-2.0,29.01
hc,female,36,36.0,-2.0,29.75
hc,female,37,37.0,-2.0,30.44
hc,female,38,38.0,-2.0,31.09
hc,female,39,39.0,-2.0,31.69
hc,female,40,40.0,-2.0,32.26
hc,female,41,41.0,-2.0,32.79
hc,female,42,42.0,-2.0,33.3
hc,female,43,43.0,-2.0,33.77
hc,female,44,44.0,-2.0,34.22
hc,female,45,45.0,-2.0,34.65
hc,female,46,46.0,-2.0,35.05
hc,female,47,47.0,-2.0,35.44
hc,female,48,48.0,-2.0,35.8
hc,female,49,49.0,-2.0,36.14
hc,female,50,50.0,-2.0,36.47
hc,female,51,51.0,-2.0,36.79
hc,female,52,52.0,-2.0,37.09
