measure,sex,ga_label,ga_weeks,z_level,value
length,male,27,27.0,-3.0,26.59
length,male,27,27.0,-2.0,28.49
length,male,27,27.0,-1.0,30.53
length,male,27,27.0,0.0,32.71
length,male,27,27.0,1.0,35.05
length,male,27,27.0,2.0,37.56
length,male,27,27.0,3.0,40.25
length,male,28,28.0,-3.0,28.56
length,male,28,28.0,-2.0,30.44
length,male,28,28.0,-1.0,32.44
length,male,28,28.0,0.0,34.57
length,male,28,28.0,1.0,36.84
length,male,28,28.0,2.0,39.26
length,male,28,28.0,3.0,41.84
length,male,29,29.0,-3.0,30.45
length,male,29,29.0,-2.0,32.3
length,male,29,29.0,-1.0,34.26
length,male,29,29.0,0.0,36.34
length,male,29,29.0,1.0,38.55
length,male,29,29.0,2.0,40.89
length,male,29,29.0,3.0,43.37
length,male,30,30.0,-3.0,32.24
length,male,30,30.0,-2.0,34.06
length,male,30,30.0,-1.0,35.99
length,male,30,30.0,0.0,38.02
length,male,30,30.0,1.0,40.17
length,male,30,30.0,2.0,42.45
length,male,30,30.0,3.0,44.85
length,male,31,31.0,-3.0,33.93
length,male,31,31.0,-2.0,35.73
length,male,31,31.0,-1.0,37.63
length,male,31,31.0,0.0,39.62
length,male,31,31.0,1.0,41.72
length,male,31,31.0,2.0,43.93
length,male,31,31.0,3.0,46.26
length,male,32,32.0,-3.0,35.54
length,male,32,32.0,-2.0,37.31
length,male,32,32.0,-1.0,39.18
length,male,32,32.0,0.0,41.14
length,male,32,32.0,1.0,43.2
length,male,32,32.0,2.0,45.36
length,male,32,32.0,3.0,47.63
length,male,33,33.0,-3.0,37.05
length,male,33,33.0,-2.0,38.81
length,male,33,33.0,-1.0,40.65
length,male,33,33.0,0.0,42.58
length,male,33,33.0,1.0,44.6
length,male,33,33.0,2.0,46.72
length,male,33,33.0,3.0,48.94
length,male,34,34.0,-3.0,38.49
length,male,34,34.0,-2.0,40.23
length,male,34,34.0,-1.0,42.05
length,male,34,34.0,0.0,43.96
length,male,34,34.0,1.0,45.95
length,male,34,34.0,2.0,48.03
length,male,34,34.0,3.0,50.2
length,male,35,35.0,-3.0,39.84
length,male,35,35.0,-2.0,41.57
length,male,35,35.0,-1.0,43.38
length,male,35,35.0,0.0,45.26
length,male,35,35.0,1.0,47.23
length,male,35,35.0,2.0,49.28
length,male,35,35.0,3.0,51.41
length,male,36,36.0,-3.0,41.12
length,male,36,36.0,-2.0,42.84
length,male,36,36.0,-1.0,44.64
length,male,36,36.0,0.0,46.5
length,male,36,36.0,1.0,48.45
length,male,36,36.0,2.0,50.47
length,male,36,36.0,3.0,52.58
length,male,37,37.0,-3.0,42.33
length,male,37,37.0,-2.0,44.05
length,male,37,37.0,-1.0,45.83
length,male,37,37.0,0.0,47.69
length,male,37,37.0,1.0,49.62
length,male,37,37.0,2.0,51.62
length,male,37,37.0,3.0,53.71
length,male,38,38.0,-3.0,43.48
length,male,38,38.0,-2.0,45.19
length,male,38,38.0,-1.0,46.97
length,male,38,38.0,0.0,48.81
length,male,38,38.0,1.0,50.73
length,male,38,38.0,2.0,52.73
length,male,38,38.0,3.0,54.8
length,male,39,39.0,-3.0,44.56
length,male,39,39.0,-2.0,46.27
length,male,39,39.0,-1.0,48.04
length,male,39,39.0,0.0,49.89
length,male,39,39.0,1.0,51.8
length,male,39,39.0,2.0,53.79
length,male,39,39.0,3.0,55.85
length,male,40,40.0,-3.0,45.59
length,male,40,40.0,-2.0,47.3
length,male,40,40.0,-1.0,49.07
length,male,40,40.0,0.0,50.91
length,male,40,40.0,1.0,52.82
length,male,40,40.0,2.0,54.81
length,male,40,40.0,3.0,56.86
length,male,41,41.0,-3.0,46.56
length,male,41,41.0,-2.0,48.27
length,male,41,41.0,-1.0,50.05
length,male,41,41.0,0.0,51.89
length,male,41,41.0,1.0,53.81
length,male,41,41.0,2.0,55.79
length,male,41,41.0,3.0,57.84
length,male,42,42.0,-3.0,47.48
length,male,42,42.0,-2.0,49.2
length,male,42,42.0,-1.0,50.98
length,male,42,42.0,0.0,52.83
length,male,42,42.0,1.0,54.75
length,male,42,42.0,2.0,56.73
length,male,42,42.0,3.0,58.79
length,male,43,43.0,-3.0,48.35
length,male,43,43.0,-2.0,50.08
length,male,43,43.0,-1.0,51.87
length,male,43,43.0,0.0,53.73
length,male,43,43.0,1.0,55.65
length,male,43,43.0,2.0,57.65
length,male,43,43.0,3.0,59.71
length,male,44,44.0,-3.0,49.18
length,male,44,44.0,-2.0,50.92
length,male,44,44.0,-1.0,52.73
length,male,44,44.0,0.0,54.59
length,male,44,44.0,1.0,56.52
length,male,44,44.0,2.0,58.52
length,male,44,44.0,3.0,60.6
length,male,45,45.0,-3.0,49.97
length,male,45,45.0,-2.0,51.73
length,male,45,45.0,-1.0,53.54
length,male,45,45.0,0.0,55.42
length,male,45,45.0,1.0,57.36
length,male,45,45.0,2.0,59.37
length,male,45,45.0,3.0,61.46
length,male,46,46.0,-3.0,50.73
length,male,46,46.0,-2.0,52.49
length,male,46,46.0,-1.0,54.32
length,male,46,46.0,0.0,56.21
length,male,46,46.0,1.0,58.17
length,male,46,46.0,2.0,60.19
length,male,46,46.0,3.0,62.29
length,male,47,47.0,-3.0,51.45
length,male,47,47.0,-2.0,53.23
length,male,47,47.0,-1.0,55.07
length,male,47,47.0,0.0,56.98
length,male,47,47.0,1.0,58.95
length,male,47,47.0,2.0,60.99
length,male,47,47.0,3.0,63.1
length,male,48,48.0,-3.0,52.13
length,male,48,48.0,-2.0,53.93
length,male,48,48.0,-1.0,55.79
length,male,48,48.0,0.0,57.71
length,male,48,48.0,1.0,59.7
length,male,48,48.0,2.0,61.76
length,male,48,48.0,3.0,63.89
length,male,49,49.0,-3.0,52.79
length,male,49,49.0,-2.0,54.6
length,male,49,49.0,-1.0,56.48
length,male,49,49.0,0.0,58.42
length,male,49,49.0,1.0,60.43
length,male,49,49.0,2.0,62.5
length,male,49,49.0,3.0,64.65
length,male,50,50.0,-3.0,53.42
length,male,50,50.0,-2.0,55.25
length,male,50,50.0,-1.0,57.14
length,male,50,50.0,0.0,59.1
length,male,50,50.0,1.0,61.13
length,male,50,50.0,2.0,63.23
length,male,50,50.0,3.0,65.39
length,male,51,51.0,-3.0,54.02
length,male,51,51.0,-2.0,55.87
length,male,51,51.0,-1.0,57.78
length,male,51,51.0,0.0,59.76
length,male,51,51.0,1.0,61.81
length,male,51,51.0,2.0,63.93
length,male,51,51.0,3.0,66.12
length,male,52,52.0,-3.0,54.6
length,male,52,52.0,-2.0,56.47
length,male,52,52.0,-1.0,58.4
length,male,52,52.0,0.0,60.4
length,male,52,52.0,1.0,62.47
length,male,52,52.0,2.0,64.61
length,male,52,52.0,3.0,66.82
length,male,53,53.0,-3.0,55.15
length,male,53,53.0,-2.0,57.04
length,male,53,53.0,-1.0,59.0
length,male,53,53.0,0.0,61.02
length,male,53,53.0,1.0,63.11
length,male,53,53.0,2.0,65.27
length,male,53,53.0,3.0,67.51
length,male,54,54.0,-3.0,55.68
length,male,54,54.0,-2.0,57.6
length,male,54,54.0,-1.0,59.57
length,male,54,54.0,0.0,61.62
length,male,54,54.0,1.0,63.73
length,male,54,54.0,2.0,65.92
length,male,54,54.0,3.0,68.18
length,male,55,55.0,-3.0,56.2
length,male,55,55.0,-2.0,58.13
length,male,55,55.0,-1.0,60.13
length,male,55,55.0,0.0,62.2
length,male,55,55.0,1.0,64.33
length,male,55,55.0,2.0,66.54
length,male,55,55.0,3.0,68.83
length,male,56,56.0,-3.0,56.7
length,male,56,56.0,-2.0,58.65
length,male,56,56.0,-1.0,60.67
length,male,56,56.0,0.0,62.76
length,male,56,56.0,1.0,64.92
length,male,56,56.0,2.0,67.16
length,male,56,56.0,3.0,69.47
length,male,57,57.0,-3.0,57.17
length,male,57,57.0,-2.0,59.15
length,male,57,57.0,-1.0,61.19
length,male,57,57.0,0.0,63.3
length,male,57,57.0,1.0,65.49
length,male,57,57.0,2.0,67.75
length,male,57,57.0,3.0,70.09
length,male,58,58.0,-3.0,57.64
length,male,58,58.0,-2.0,59.63
length,male,58,58.0,-1.0,61.7
length,male,58,58.0,0.0,63.84
length,male,58,58.0,1.0,66.05
length,male,58,58.0,2.0,68.34
length,male,58,58.0,3.0,70.7
