measure,sex,ga_label,ga_weeks,z_level,value
weight,male,27,27,-3,0.36
weight,male,27,27,-2,0.44
weight,male,27,27,-1,0.55
weight,male,27,27,0,0.67
weight,male,27,27,1,0.83
weight,male,27,27,2,1.02
weight,male,27,27,3,1.25
weight,male,28,28,-3,0.46
weight,male,28,28,-2,0.56
weight,male,28,28,-1,0.68
weight,male,28,28,0,0.83
weight,male,28,28,1,1.01
weight,male,28,28,2,1.23
weight,male,28,28,3,1.5
weight,male,29,29,-3,0.57
weight,male,29,29,-2,0.69
weight,male,29,29,-1,0.83
weight,male,29,29,0,1
weight,male,29,29,1,1.21
weight,male,29,29,2,1.46
weight,male,29,29,3,1.76
weight,male,30,30,-3,0.69
weight,male,30,30,-2,0.83
weight,male,30,30,-1,0.99
weight,male,30,30,0,1.19
weight,male,30,30,1,1.42
weight,male,30,30,2,1.7
weight,male,30,30,3,2.04
weight,male,31,31,-3,0.83
weight,male,31,31,-2,0.98
weight,male,31,31,-1,1.17
weight,male,31,31,0,1.39
weight,male,31,31,1,1.65
weight,male,31,31,2,1.96
weight,male,31,31,3,2.33
weight,male,32,32,-3,0.97
weight,male,32,32,-2,1.14
weight,male,32,32,-1,1.35
weight,male,32,32,0,1.6
weight,male,32,32,1,1.89
weight,male,32,32,2,2.23
weight,male,32,32,3,2.63
weight,male,33,33,-3,1.11
weight,male,33,33,-2,1.31
weight,male,33,33,-1,1.54
weight,male,33,33,0,1.81
weight,male,33,33,1,2.13
weight,male,33,33,2,2.5
weight,male,33,33,3,2.94
weight,male,34,34,-3,1.27
weight,male,34,34,-2,1.49
weight,male,34,34,-1,1.74
weight,male,34,34,0,2.04
weight,male,34,34,1,2.38
weight,male,34,34,2,2.79
weight,male,34,34,3,3.26
weight,male,35,35,-3,1.43
weight,male,35,35,-2,1.66
weight,male,35,35,-1,1.94
weight,male,35,35,0,2.26
weight,male,35,35,1,2.64
weight,male,35,35,2,3.08
weight,male,35,35,3,3.59
weight,male,36,36,-3,1.59
weight,male,36,36,-2,1.85
