ga_label,ga_weeks,measure,sex,value,z_level,ga_weeks_days
24,24,length,male,24.42,-3,24+0
24,24,length,male,27.02,-2,24+0
24,24,length,male,29.62,-1,24+0
24,24,length,male,32.21,0,24+0
24,24,length,male,34.81,1,24+0
24,24,length,male,37.41,2,24+0
24,24,length,male,40.01,3,24+0
24,24,length,male,24.78,-3,24+2
24,24,length,male,27.38,-2,24+2
24,24,length,male,29.98,-1,24+2
24,24,length,male,32.58,0,24+2
24,24,length,male,35.18,1,24+2
24,24,length,male,37.78,2,24+2
24,24,length,male,40.38,3,24+2
24,24,length,male,25.14,-3,24+4
24,24,length,male,27.74,-2,24+4
24,24,length,male,30.34,-1,24+4
24,24,length,male,32.94,0,24+4
24,24,length,male,35.54,1,24+4
24,24,length,male,38.14,2,24+4
24,24,length,male,40.74,3,24+4
24,24,length,male,25.5,-3,24+6
24,24,length,male,28.1,-2,24+6
24,24,length,male,30.7,-1,24+6
24,24,length,male,33.3,0,24+6
24,24,length,male,35.9,1,24+6
24,24,length,male,38.5,2,24+6
24,24,length,male,41.1,3,24+6
25,25,length,male,25.87,-3,25+1
25,25,length,male,28.47,-2,25+1
25,25,length,male,31.07,-1,25+1
25,25,length,male,33.67,0,25+1
25,25,length,male,36.27,1,25+1
25,25,length,male,38.87,2,25+1
25,25,length,male,41.46,3,25+1
25,25,length,male,26.23,-3,25+3
25,25,length,male,28.83,-2,25+3
25,25,length,male,31.43,-1,25+3
25,25,length,male,34.03,0,25+3
25,25,length,male,36.63,1,25+3
25,25,length,male,39.23,2,25+3
25,25,length,male,41.83,3,25+3
25,25,length,male,26.59,-3,25+5
25,25,length,male,29.19,-2,25+5
25,25,length,male,31.79,-1,25+5
25,25,length,male,34.39,0,25+5
25,25,length,male,36.99,1,25+5
25,25,length,male,39.59,2,25+5
25,25,length,male,42.19,3,25+5
26,26,length,male,26.96,-3,26+0
26,26,length,male,29.56,-2,26+0
26,26,length,male,32.16,-1,26+0
26,26,length,male,34.75,0,26+0
26,26,length,male,37.35,1,26+0
26,26,length,male,39.95,2,26+0
26,26,length,male,42.55,3,26+0
26,26,length,male,27.32,-3,26+2
26,26,length,male,29.92,-2,26+2
26,26,length,male,32.52,-1,26+2
26,26,length,male,35.12,0,26+2
26,26,length,male,37.72,1,26+2
26,26,length,male,40.32,2,26+2
26,26,length,male,42.92,3,26+2
26,26,length,male,27.68,-3,26+4
26,26,length,male,30.28,-2,26+4
26,26,length,male,32.88,-1,26+4
26,26,length,male,35.48,0,26+4
26,26,length,male,38.08,1,26+4
26,26,length,male,40.68,2,26+4
26,26,length,male,43.28,3,26+4
26,26,length,male,28.04,-3,26+6
26,26,length,male,30.64,-2,26+6
26,26,length,male,33.24,-1,26+6
26,26,length,male,35.84,0,26+6
26,26,length,male,38.44,1,26+6
26,26,length,male,41.04,2,26+6
26,26,length,male,43.64,3,26+6
27,27,length,male,28.41,-3,27+1
27,27,length,male,31.01,-2,27+1
27,27,length,male,33.61,-1,27+1
27,27,length,male,36.21,0,27+1
27,27,length,male,38.81,1,27+1
27,27,length,male,41.41,2,27+1
27,27,length,male,44.0,3,27+1
27,27,length,male,28.77,-3,27+3
27,27,length,male,31.37,-2,27+3
27,27,length,male,33.97,-1,27+3
27,27,length,male,36.57,0,27+3
27,27,length,male,39.17,1,27+3
27,27,length,male,41.77,2,27+3
27,27,length,male,44.37,3,27+3
27,27,length,male,29.13,-3,27+5
27,27,length,male,31.73,-2,27+5
27,27,length,male,34.33,-1,27+5
27,27,length,male,36.93,0,27+5
27,27,length,male,39.53,1,27+5
27,27,length,male,42.13,2,27+5
27,27,length,male,44.73,3,27+5
28,28,length,male,29.5,-3,28+0
28,28,length,male,32.1,-2,28+0
28,28,length,male,34.7,-1,28+0
28,28,length,male,37.29,0,28+0
28,28,length,male,39.89,1,28+0
28,28,length,male,42.49,2,28+0
28,28,length,male,45.09,3,28+0
28,28,length,male,29.86,-3,28+2
28,28,length,male,32.46,-2,28+2
28,28,length,male,35.06,-1,28+2
28,28,length,male,37.66,0,28+2
28,28,length,male,40.26,1,28+2
28,28,length,male,42.86,2,28+2
28,28,length,male,45.46,3,28+2
28,28,length,male,30.22,-3,28+4
28,28,length,male,32.82,-2,28+4
28,28,length,male,35.42,-1,28+4
28,28,length,male,38.02,0,28+4
28,28,length,male,40.62,1,28+4
28,28,length,male,43.22,2,28+4
28,28,length,male,45.82,3,28+4
28,28,length,male,30.58,-3,28+6
28,28,length,male,33.18,-2,28+6
28,28,length,male,35.78,-1,28+6
28,28,length,male,38.38,0,28+6
28,28,length,male,40.98,1,28+6
28,28,length,male,43.58,2,28+6
28,28,length,male,46.18,3,28+6
29,29,length,male,30.95,-3,29+1
29,29,length,male,33.55,-2,29+1
29,29,length,male,36.15,-1,29+1
29,29,length,male,38.75,0,29+1
29,29,length,male,41.35,1,29+1
29,29,length,male,43.95,2,29+1
29,29,length,male,46.54,3,29+1
29,29,length,male,31.31,-3,29+3
29,29,length,male,33.91,-2,29+3
29,29,length,male,36.51,-1,29+3
29,29,length,male,39.11,0,29+3
29,29,length,male,41.71,1,29+3
29,29,length,male,44.31,2,29+3
29,29,length,male,46.91,3,29+3
29,29,length,male,31.67,-3,29+5
29,29,length,male,34.27,-2,29+5
29,29,length,male,36.87,-1,29+5
29,29,length,male,39.47,0,29+5
29,29,length,male,42.07,1,29+5
29,29,length,male,44.67,2,29+5
29,29,length,male,47.27,3,29+5
30,30,length,male,32.04,-3,30+0
30,30,length,male,34.64,-2,30+0
30,30,length,male,37.24,-1,30+0
30,30,length,male,39.83,0,30+0
