ga_label,ga_weeks,measure,sex,value,z_level,ga_weeks_days
24,24,length,female,23.99,-3,24+0
24,24,length,female,26.59,-2,24+0
24,24,length,female,29.19,-1,24+0
24,24,length,female,31.79,0,24+0
24,24,length,female,34.39,1,24+0
24,24,length,female,36.99,2,24+0
24,24,length,female,39.59,3,24+0
24,24,length,female,24.35,-3,24+2
24,24,length,female,26.95,-2,24+2
24,24,length,female,29.55,-1,24+2
24,24,length,female,32.15,0,24+2
24,24,length,female,34.75,1,24+2
24,24,length,female,37.35,2,24+2
24,24,length,female,39.95,3,24+2
24,24,length,female,24.72,-3,24+4
24,24,length,female,27.31,-2,24+4
24,24,length,female,29.91,-1,24+4
24,24,length,female,32.51,0,24+4
24,24,length,female,35.11,1,24+4
24,24,length,female,37.71,2,24+4
24,24,length,female,40.31,3,24+4
24,24,length,female,25.08,-3,24+6
24,24,length,female,27.68,-2,24+6
24,24,length,female,30.28,-1,24+6
24,24,length,female,32.88,0,24+6
24,24,length,female,35.48,1,24+6
24,24,length,female,38.08,2,24+6
24,24,length,female,40.68,3,24+6
25,25,length,female,25.44,-3,25+1
25,25,length,female,28.04,-2,25+1
25,25,length,female,30.64,-1,25+1
25,25,length,female,33.24,0,25+1
25,25,length,female,35.84,1,25+1
25,25,length,female,38.44,2,25+1
25,25,length,female,41.04,3,25+1
25,25,length,female,25.8,-3,25+3
25,25,length,female,28.4,-2,25+3
25,25,length,female,31.0,-1,25+3
25,25,length,female,33.6,0,25+3
25,25,length,female,36.2,1,25+3
25,25,length,female,38.8,2,25+3
25,25,length,female,41.4,3,25+3
25,25,length,female,26.17,-3,25+5
25,25,length,female,28.77,-2,25+5
25,25,length,female,31.37,-1,25+5
25,25,length,female,33.97,0,25+5
25,25,length,female,36.56,1,25+5
25,25,length,female,39.16,2,25+5
25,25,length,female,41.76,3,25+5
26,26,length,female,26.53,-3,26+0
26,26,length,female,29.13,-2,26+0
26,26,length,female,31.73,-1,26+0
26,26,length,female,34.33,0,26+0
26,26,length,female,36.93,1,26+0
26,26,length,female,39.53,2,26+0
26,26,length,female,42.13,3,26+0
26,26,length,female,26.89,-3,26+2
26,26,length,female,29.49,-2,26+2
26,26,length,female,32.09,-1,26+2
26,26,length,female,34.69,0,26+2
26,26,length,female,37.29,1,26+2
26,26,length,female,39.89,2,26+2
26,26,length,female,42.49,3,26+2
26,26,length,female,27.26,-3,26+4
26,26,length,female,29.85,-2,26+4
26,26,length,female,32.45,-1,26+4
26,26,length,female,35.05,0,26+4
26,26,length,female,37.65,1,26+4
26,26,length,female,40.25,2,26+4
26,26,length,female,42.85,3,26+4
26,26,length,female,27.62,-3,26+6
26,26,length,female,30.22,-2,26+6
26,26,length,female,32.82,-1,26+6
26,26,length,female,35.42,0,26+6
26,26,length,female,38.02,1,26+6
26,26,length,female,40.62,2,26+6
26,26,length,female,43.22,3,26+6
27,27,length,female,27.98,-3,27+1
27,27,length,female,30.58,-2,27+1
27,27,length,female,33.18,-1,27+1
27,27,length,female,35.78,0,27+1
27,27,length,female,38.38,1,27+1
27,27,length,female,40.98,2,27+1
27,27,length,female,43.58,3,27+1
27,27,length,female,28.34,-3,27+3
27,27,length,female,30.94,-2,27+3
27,27,length,female,33.54,-1,27+3
27,27,length,female,36.14,0,27+3
27,27,length,female,38.74,1,27+3
27,27,length,female,41.34,2,27+3
27,27,length,female,43.94,3,27+3
27,27,length,female,28.71,-3,27+5
27,27,length,female,31.31,-2,27+5
27,27,length,female,33.91,-1,27+5
27,27,length,female,36.51,0,27+5
27,27,length,female,39.1,1,27+5
27,27,length,female,41.7,2,27+5
27,27,length,female,44.3,3,27+5
28,28,length,female,29.07,-3,28+0
28,28,length,female,31.67,-2,28+0
28,28,length,female,34.27,-1,28+0
28,28,length,female,36.87,0,28+0
28,28,length,female,39.47,1,28+0
28,28,length,female,42.07,2,28+0
28,28,length,female,44.67,3,28+0
28,28,length,female,29.43,-3,28+2
28,28,length,female,32.03,-2,28+2
28,28,length,female,34.63,-1,28+2
28,28,length,female,37.23,0,28+2
28,28,length,female,39.83,1,28+2
28,28,length,female,42.43,2,28+2
28,28,length,female,45.03,3,28+2
29,29,length,female,31.07,-3,29+4
29,29,length,female,33.66,-2,29+4
29,29,length,female,36.26,-1,29+4
29,29,length,female,38.86,0,29+4
29,29,length,female,41.46,1,29+4
29,29,length,female,44.06,2,29+4
29,29,length,female,46.66,3,29+4
29,29,length,female,31.43,-3,29+6
29,29,length,female,34.03,-2,29+6
29,29,length,female,36.63,-1,29+6
29,29,length,female,39.23,0,29+6
29,29,length,female,41.83,1,29+6
29,29,length,female,44.43,2,29+6
29,29,length,female,47.03,3,29+6
30,30,length,female,31.79,-3,30+1
30,30,length,female,34.39,-2,30+1
30,30,length,female,36.99,-1,30+1
30,30,length,female,39.59,0,30+1
30,30,length,female,42.19,1,30+1
30,30,length,female,44.79,2,30+1
30,30,length,female,47.39,3,30+1
30,30,length,female,32.15,-3,30+3
30,30,length,female,34.75,-2,30+3
30,30,length,female,37.35,-1,30+3
30,30,length,female,39.95,0,30+3
30,30,length,female,42.55,1,30+3
30,30,length,female,45.15,2,30+3
30,30,length,female,47.75,3,30+3
30,30,length,female,32.52,-3,30+5
30,30,length,female,35.12,-2,30+5
30,30,length,female,37.72,-1,30+5
30,30,length,female,40.32,0,30+5
30,30,length,female,42.91,1,30+5
30,30,length,female,45.51,2,30+5
30,30,length,female,48.11,3,30+5
31,31,length,female,32.88,-3,31+0
31,31,length,female,35.48,-2,31+0
31,31,length,female,38.08,-1,31+0
31,31,length,female,40.68,0,31+0
31,31,length,female,43.28,1,31+0
31,31,length,female,45.88,2,31+0
31,31,length,female,48.48,3,31+0
31,31,length,female,33.24,-3,31+2
31,31,length,female,35.84,-2,31+2
31,31,length,female,38.44,-1,31+2
31,31,length,female,41.04,0,31+2
31,31,length,female,43.64,1,31+2
31,31,length,female,46.24,2,31+2
31,31,length,female,48.84,3,31+2
31,31,length,female,33.61,-3,31+4
31,31,length,female,36.2,-2,31+4
31,31,length,female,38.8,-1,31+4
31,31,length,female,41.4,0,31+4
31,31,length,female,44.0,1,31+4
31,31,length,female,46.6,2,31+4
31,31,length,female,49.2,3,31+4
31,31,length,female,33.97,-3,31+6
31,31,length,female,36.57,-2,31+6
31,31,length,female,39.17,-1,31+6
31,31,length,female,41.77,0,31+6
31,31,length,female,44.37,1,31+6
31,31,length,female,46.97,2,31+6
31,31,length,female,49.57,3,31+6
32,32,length,female,34.33,-3,32+1
32,32,length,female,36.93,-2,32+1
32,32,length,female,39.53,-1,32+1
32,32,length,female,42.13,0,32+1
32,32,length,female,44.73,1,32+1
32,32,length,female,47.33,2,32+1
32,32,length,female,49.93,3,32+1
32,32,length,female,34.69,-3,32+3
32,32,length,female,37.29,-2,32+3
32,32,length,female,39.89,-1,32+3
32,32,length,female,42.49,0,32+3
32,32,length,female,45.09,1,32+3
32,32,length,female,47.69,2,32+3
32,32,length,female,50.29,3,32+3
32,32,length,female,35.06,-3,32+5
32,32,length,female,37.66,-2,32+5
32,32,length,female,40.26,-1,32+5
32,32,length,female,42.86,0,32+5
32,32,length,female,45.46,1,32+5
32,32,length,female,48.05,2,32+5
32,32,length,female,50.65,3,32+5
