ga_label,ga_weeks,measure,sex,value,z_level,ga_weeks_days
24,24,wt,male,0.36,-3,24+0
24,24,wt,male,0.43,-2,24+0
24,24,wt,male,0.53,-1,24+0
24,24,wt,male,0.64,0,24+0
24,24,wt,male,0.77,1,24+0
24,24,wt,male,0.94,2,24+0
24,24,wt,male,1.14,3,24+0
24,24,wt,male,0.36,-3,24+1
24,24,wt,male,0.44,-2,24+1
24,24,wt,male,0.54,-1,24+1
24,24,wt,male,0.65,0,24+1
24,24,wt,male,0.79,1,24+1
24,24,wt,male,0.96,2,24+1
24,24,wt,male,1.16,3,24+1
24,24,wt,male,0.37,-3,24+2
24,24,wt,male,0.45,-2,24+2
24,24,wt,male,0.55,-1,24+2
24,24,wt,male,0.66,0,24+2
24,24,wt,male,0.8,1,24+2
24,24,wt,male,0.98,2,24+2
24,24,wt,male,1.18,3,24+2
24,24,wt,male,0.38,-3,24+3
24,24,wt,male,0.46,-2,24+3
24,24,wt,male,0.56,-1,24+3
24,24,wt,male,0.68,0,24+3
24,24,wt,male,0.82,1,24+3
24,24,wt,male,0.99,2,24+3
24,24,wt,male,1.21,3,24+3
24,24,wt,male,0.39,-3,24+4
24,24,wt,male,0.47,-2,24+4
24,24,wt,male,0.57,-1,24+4
24,24,wt,male,0.69,0,24+4
24,24,wt,male,0.84,1,24+4
24,24,wt,male,1.01,2,24+4
24,24,wt,male,1.23,3,24+4
24,24,wt,male,0.39,-3,24+5
24,24,wt,male,0.48,-2,24+5
24,24,wt,male,0.58,-1,24+5
24,24,wt,male,0.7,0,24+5
24,24,wt,male,0.85,1,24+5
24,24,wt,male,1.03,2,24+5
24,24,wt,male,1.25,3,24+5
24,24,wt,male,0.4,-3,24+6
24,24,wt,male,0.49,-2,24+6
24,24,wt,male,0.59,-1,24+6
24,24,wt,male,0.72,0,24+6
24,24,wt,male,0.87,1,24+6
24,24,wt,male,1.05,2,24+6
24,24,wt,male,1.28,3,24+6
25,25,wt,male,0.41,-3,25+0
25,25,wt,male,0.5,-2,25+0
25,25,wt,male,0.6,-1,25+0
25,25,wt,male,0.73,0,25+0
25,25,wt,male,0.88,1,25+0
25,25,wt,male,1.07,2,25+0
25,25,wt,male,1.3,3,25+0
25,25,wt,male,0.42,-3,25+1
25,25,wt,male,0.5,-2,25+1
25,25,wt,male,0.61,-1,25+1
25,25,wt,male,0.74,0,25+1
25,25,wt,male,0.9,1,25+1
25,25,wt,male,1.09,2,25+1
25,25,wt,male,1.33,3,25+1
25,25,wt,male,0.42,-3,25+2
25,25,wt,male,0.51,-2,25+2
25,25,wt,male,0.62,-1,25+2
25,25,wt,male,0.76,0,25+2
25,25,wt,male,0.92,1,25+2
25,25,wt,male,1.11,2,25+2
25,25,wt,male,1.35,3,25+2
25,25,wt,male,0.43,-3,25+3
25,25,wt,male,0.52,-2,25+3
25,25,wt,male,0.64,-1,25+3
25,25,wt,male,0.77,0,25+3
25,25,wt,male,0.94,1,25+3
25,25,wt,male,1.14,2,25+3
25,25,wt,male,1.38,3,25+3
25,25,wt,male,0.44,-3,25+4
25,25,wt,male,0.53,-2,25+4
25,25,wt,male,0.65,-1,25+4
25,25,wt,male,0.79,0,25+4
25,25,wt,male,0.95,1,25+4
25,25,wt,male,1.16,2,25+4
25,25,wt,male,1.4,3,25+4
25,25,wt,male,0.45,-3,25+5
25,25,wt,male,0.54,-2,25+5
25,25,wt,male,0.66,-1,25+5
25,25,wt,male,0.8,0,25+5
25,25,wt,male,0.97,1,25+5
25,25,wt,male,1.18,2,25+5
25,25,wt,male,1.43,3,25+5
25,25,wt,male,0.46,-3,25+6
25,25,wt,male,0.55,-2,25+6
25,25,wt,male,0.67,-1,25+6
25,25,wt,male,0.82,0,25+6
25,25,wt,male,0.99,1,25+6
25,25,wt,male,1.2,2,25+6
25,25,wt,male,1.46,3,25+6
26,26,wt,male,0.47,-3,26+0
26,26,wt,male,0.56,-2,26+0
26,26,wt,male,0.69,-1,26+0
26,26,wt,male,0.83,0,26+0
26,26,wt,male,1.01,1,26+0
26,26,wt,male,1.22,2,26+0
26,26,wt,male,1.48,3,26+0
26,26,wt,male,0.47,-3,26+1
26,26,wt,male,0.58,-2,26+1
26,26,wt,male,0.7,-1,26+1
26,26,wt,male,0.85,0,26+1
26,26,wt,male,1.03,1,26+1
26,26,wt,male,1.25,2,26+1
26,26,wt,male,1.51,3,26+1
26,26,wt,male,0.48,-3,26+2
26,26,wt,male,0.59,-2,26+2
26,26,wt,male,0.71,-1,26+2
26,26,wt,male,0.86,0,26+2
26,26,wt,male,1.05,1,26+2
26,26,wt,male,1.27,2,26+2
26,26,wt,male,1.54,3,26+2
26,26,wt,male,0.49,-3,26+3
26,26,wt,male,0.6,-2,26+3
26,26,wt,male,0.72,-1,26+3
26,26,wt,male,0.88,0,26+3
26,26,wt,male,1.07,1,26+3
26,26,wt,male,1.29,2,26+3
26,26,wt,male,1.57,3,26+3
26,26,wt,male,0.5,-3,26+4
26,26,wt,male,0.61,-2,26+4
