ga_label,ga_weeks,measure,sex,value,z_level,ga_weeks_days
24,24,wt,female,0.34,-3,24+0
24,24,wt,female,0.41,-2,24+0
24,24,wt,female,0.5,-1,24+0
24,24,wt,female,0.6,0,24+0
24,24,wt,female,0.73,1,24+0
24,24,wt,female,0.89,2,24+0
24,24,wt,female,1.07,3,24+0
24,24,wt,female,0.35,-3,24+2
24,24,wt,female,0.43,-2,24+2
24,24,wt,female,0.52,-1,24+2
24,24,wt,female,0.63,0,24+2
24,24,wt,female,0.76,1,24+2
24,24,wt,female,0.92,2,24+2
24,24,wt,female,1.12,3,24+2
24,24,wt,female,0.36,-3,24+4
24,24,wt,female,0.44,-2,24+4
24,24,wt,female,0.54,-1,24+4
24,24,wt,female,0.65,0,24+4
24,24,wt,female,0.79,1,24+4
24,24,wt,female,0.96,2,24+4
24,24,wt,female,1.16,3,24+4
24,24,wt,female,0.38,-3,24+6
24,24,wt,female,0.46,-2,24+6
24,24,wt,female,0.56,-1,24+6
24,24,wt,female,0.68,0,24+6
24,24,wt,female,0.82,1,24+6
24,24,wt,female,0.99,2,24+6
24,24,wt,female,1.21,3,24+6
25,25,wt,female,0.39,-3,25+1
25,25,wt,female,0.48,-2,25+1
25,25,wt,female,0.58,-1,25+1
25,25,wt,female,0.7,0,25+1
25,25,wt,female,0.85,1,25+1
25,25,wt,female,1.03,2,25+1
25,25,wt,female,1.25,3,25+1
25,25,wt,female,0.41,-3,25+3
25,25,wt,female,0.49,-2,25+3
25,25,wt,female,0.6,-1,25+3
25,25,wt,female,0.73,0,25+3
25,25,wt,female,0.88,1,25+3
25,25,wt,female,1.07,2,25+3
25,25,wt,female,1.3,3,25+3
25,25,wt,female,0.42,-3,25+5
25,25,wt,female,0.51,-2,25+5
25,25,wt,female,0.62,-1,25+5
25,25,wt,female,0.76,0,25+5
25,25,wt,female,0.92,1,25+5
25,25,wt,female,1.11,2,25+5
25,25,wt,female,1.35,3,25+5
26,26,wt,female,0.44,-3,26+0
26,26,wt,female,0.53,-2,26+0
26,26,wt,female,0.65,-1,26+0
26,26,wt,female,0.78,0,26+0
26,26,wt,female,0.95,1,26+0
26,26,wt,female,1.16,2,26+0
26,26,wt,female,1.4,3,26+0
26,26,wt,female,0.46,-3,26+2
26,26,wt,female,0.55,-2,26+2
26,26,wt,female,0.67,-1,26+2
26,26,wt,female,0.81,0,26+2
26,26,wt,female,0.99,1,26+2
26,26,wt,female,1.2,2,26+2
26,26,wt,female,1.45,3,26+2
26,26,wt,female,0.47,-3,26+4
26,26,wt,female,0.57,-2,26+4
26,26,wt,female,0.7,-1,26+4
26,26,wt,female,0.85,0,26+4
26,26,wt,female,1.03,1,26+4
26,26,wt,female,1.24,2,26+4
26,26,wt,female,1.51,3,26+4
26,26,wt,female,0.49,-3,26+6
26,26,wt,female,0.6,-2,26+6
26,26,wt,female,0.72,-1,26+6
26,26,wt,female,0.88,0,26+6
26,26,wt,female,1.06,1,26+6
26,26,wt,female,1.29,2,26+6
26,26,wt,female,1.57,3,26+6
27,27,wt,female,0.51,-3,27+1
27,27,wt,female,0.62,-2,27+1
27,27,wt,female,0.75,-1,27+1
27,27,wt,female,0.91,0,27+1
27,27,wt,female,1.1,1,27+1
27,27,wt,female,1.34,2,27+1
27,27,wt,female,1.62,3,27+1
27,27,wt,female,0.53,-3,27+3
27,27,wt,female,0.64,-2,27+3
27,27,wt,female,0.78,-1,27+3
27,27,wt,female,0.94,0,27+3
27,27,wt,female,1.14,1,27+3
27,27,wt,female,1.39,2,27+3
27,27,wt,female,1.68,3,27+3
27,27,wt,female,0.55,-3,27+5
27,27,wt,female,0.66,-2,27+5
27,27,wt,female,0.81,-1,27+5
27,27,wt,female,0.98,0,27+5
27,27,wt,female,1.19,1,27+5
27,27,wt,female,1.44,2,27+5
27,27,wt,female,1.74,3,27+5
28,28,wt,female,0.57,-3,28+0
28,28,wt,female,0.69,-2,28+0
28,28,wt,female,0.84,-1,28+0
28,28,wt,female,1.01,0,28+0
28,28,wt,female,1.23,1,28+0
28,28,wt,female,1.49,2,28+0
28,28,wt,female,1.81,3,28+0
28,28,wt,female,0.59,-3,28+2
28,28,wt,female,0.71,-2,28+2
28,28,wt,female,0.87,-1,28+2
28,28,wt,female,1.05,0,28+2
28,28,wt,female,1.27,1,28+2
28,28,wt,female,1.55,2,28+2
28,28,wt,female,1.87,3,28+2
